year,educ,meduc,feduc,age,agesq,kids,black,east,northcen,west,farm,othrural,town,smcity,y74,y76,y78,y80,y82,y84
72,12,8,8,48,2304,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,17,8,18,46,2116,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,12,7,8,53,2809,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72,12,12,10,42,1764,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,12,3,8,51,2601,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,8,8,8,50,2500,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,12,12,10,47,2209,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,10,12,5,46,2116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,12,8,8,41,1681,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,12,6,13,36,1296,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,14,16,13,36,1296,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,11,12,10,39,1521,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,12,5,3,49,2401,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,11,4,8,53,2809,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,18,10,18,38,1444,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
72,14,16,12,39,1521,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,10,1,6,45,2025,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72,16,16,16,41,1681,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,12,8,8,41,1681,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,8,8,8,48,2304,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,17,4,4,53,2809,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,12,5,5,44,1936,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,8,6,43,1849,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,8,0,0,52,2704,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,14,8,14,47,2209,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,12,12,8,39,1521,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72,12,8,7,44,1936,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,8,8,8,43,1849,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,12,8,8,44,1936,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,9,8,8,43,1849,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,12,0,5,43,1849,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,12,9,7,42,1764,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
