annearn,hrearn,exper,age,depends,married,tenure,educ,nrtheast,nrthcen,south,male,white,union,office,annhrs,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,vacdays,sicklve,insur,pension,annbens,hrbens,annhrssq,beratio,lannhrs,tenuresq,expersq,lannearn,peratio,vserat
15000,7.81,14,36,2,1,15,18,1,0,0,1,1,0,1,1920,1,0,0,0,0,0,0,0,0,974.8,421,617.81,1367.8,3381.41,1.76,3686400,0.2254273,7.560081,225,196,9.615806,0.0911867,0.0930533
6500,5,7,23,0,0,8,10,0,0,1,1,1,0,0,1300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1690000,0,7.17012,64,49,8.779557,0,0
6908.99,2.35,22,38,3,1,0.5,6,0,0,1,1,1,0,0,2940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8643600,0,7.986165,0.25,484,8.840579,0,0
5512.5,4.5,2,18,0,0,0.5,12,0,0,1,1,1,0,0,1225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500625,0,7.110696,0.25,4,8.614774,0,0
7800,3.75,19,35,0,0,2,12,0,0,1,1,0,0,0,2080,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4326400,0,7.640123,4,361,8.961879,0,0
9187.5,3.75,24,40,3,1,8,13,1,0,0,1,1,0,0,2450,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.58,6002500,0.155483,7.803843,64,576,9.125599,0.0548528,0.0491135
8880,4.63,42,58,0,1,8,12,1,0,0,1,1,1,0,1920,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.74,3686400,0.1608671,7.560081,64,1764,9.091557,0.0567522,0.0508142
8532.69,3.72,21,37,1,1,0.5,13,0,1,0,1,1,0,0,2295,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.62,5267025,0.167415,7.738488,0.25,441,9.05166,0.0590623,0.0528825
8225,5,22,37,5,0,15,10,1,0,0,1,1,1,0,1645,0,1,0,0,0,0,0,0,0,203.4,84.01,261.99,0,549.4,0.33,2706025,0.0667963,7.405496,225,484,9.014934,0,0.0349435
8916,4.55,40,59,0,1,8,6,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,30.93,0,465.29,494.64,990.86,0.51,3841600,0.1111328,7.5807,64,1600,9.095603,0.0554778,0.003469
8064,4,8,24,1,0,0.5,12,0,1,0,1,1,0,0,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4064256,0,7.608871,0.25,64,8.995165,0,0
11232,4.5,19,39,3,1,2,10,0,0,1,1,1,0,0,2496,0,1,0,0,0,0,0,0,0,0,0,494.75,0,494.75,0.2,6230016,0.0440483,7.822445,4,361,9.326522,0,0
16615.4,8.65,35,52,2,1,25,12,0,0,0,1,1,1,0,1920,0,1,0,0,0,0,0,0,0,1302.86,760,1425.51,1190.8,4679.17,2.44,3686400,0.2816164,7.560081,625,1225,9.718085,0.0716685,0.1241535
12100,6.17,30,46,1,1,15,10,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.92,1.65,3841600,0.2666876,7.5807,225,900,9.400961,0.1063058,0.0529107
18000,5.25,7,23,1,0,2,13,0,0,1,1,1,0,0,3430,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.92,0.94,1.18E+07,0.1792733,8.140316,4,49,9.798127,0.0714611,0.0355678
