daaa,dus3mt,dum7599,year,month,month2,paneldate
-0.01,-0.01,0,1950,1,93/November,1950m1
0.04,0.01,0,1950,2,93/November,1950m2
0.01,0,0,1950,3,93/November,1950m3
0.02,0.02,0,1950,4,93/November,1950m4
0.01,0.01,0,1950,5,93/November,1950m5
0,0.01,0,1950,6,93/November,1950m6
0,0.03,0,1950,7,93/November,1950m7
0.04,-0.04,0,1950,8,93/November,1950m8
0.1,0.03,0,1950,9,93/November,1950m9
0.02,0.03,0,1950,10,93/December,1950m10
0.03,0,0,1950,11,93/December,1950m11
0.01,0,0,1950,12,93/December,1950m12
0.02,-0.01,0,1951,1,94/March,1951m1
0,0,0,1951,2,94/March,1951m2
0.03,0.12,0,1951,3,94/March,1951m3
0.1,0.09,0,1951,4,94/March,1951m4
0.06,0.02,0,1951,5,94/March,1951m5
-0.08,0.05,0,1951,6,94/March,1951m6
0.09,0,0,1951,7,94/March,1951m7
0.05,-0.06,0,1951,8,94/March,1951m8
0.01,-0.04,0,1951,9,94/March,1951m9
-0.04,0.05,0,1951,10,94/March,1951m10
0,0.07,0,1951,11,94/March,1951m11
0.12,0.05,0,1951,12,94/March,1951m12
-0.04,-0.03,0,1952,1,94/June,1952m1
-0.12,-0.05,0,1952,2,94/June,1952m2
0.09,0.03,0,1952,3,94/June,1952m3
-0.04,-0.03,0,1952,4,94/June,1952m4
0.09,0,0,1952,5,94/June,1952m5
-0.01,0.01,0,1952,6,94/June,1952m6
0.12,0.01,0,1952,7,94/June,1952m7
0.06,-0.01,0,1952,8,94/June,1952m8
-0.09,0.01,0,1952,9,94/June,1952m9
-0.01,0.06,0,1952,10,94/June,1952m10
0.08,-0.03,0,1952,11,94/June,1952m11
0.27,-0.01,0,1952,12,94/June,1952m12
-0.09,0.05,0,1953,1,94/September,1953m1
-0.02,0.05,0,1953,2,94/September,1953m2
0.06,0.05,0,1953,3,94/September,1953m3
0.1,0.11,0,1953,4,94/September,1953m4
0.02,0.11,0,1953,5,94/September,1953m5
0.03,0.06,0,1953,6,94/September,1953m6
-0.13,-0.12,0,1953,7,94/September,1953m7
-0.01,-0.04,0,1953,8,94/September,1953m8
-0.21,0.05,0,1953,9,94/September,1953m9
-0.48,-0.13,0,1953,10,94/September,1953m10
0.03,-0.05,0,1953,11,94/September,1953m11
0.2,0.02,0,1953,12,94/September,1953m12
-0.42,-0.07,0,1954,1,94/December,1954m1
-0.23,-0.11,0,1954,2,94/December,1954m2
0.07,-0.09,0,1954,3,94/December,1954m3
-0.04,-0.01,0,1954,4,94/December,1954m4
-0.23,0.03,0,1954,5,94/December,1954m5
-0.13,0.02,0,1954,6,95/January,1954m6
0.06,-0.01,0,1954,7,95/January,1954m7
0.18,-0.02,0,1954,8,95/January,1954m8
0.12,0.02,0,1954,9,95/January,1954m9
-0.02,-0.02,0,1954,10,95/January,1954m10
-0.04,0.02,0,1954,11,95/January,1954m11
0.22,0.01,0,1954,12,95/January,1954m12
0.09,0.03,0,1955,1,95/April,1955m1
-0.08,0,0,1955,2,95/April,1955m2
0.15,0.09,0,1955,3,95/April,1955m3
0.29,-0.01,0,1955,4,95/April,1955m4
-0.13,0.03,0,1955,5,95/April,1955m5
-0.06,0.01,0,1955,6,95/April,1955m6
0.19,0.01,0,1955,7,95/April,1955m7
0.26,0.05,0,1955,8,95/April,1955m8
0.21,0.02,0,1955,9,95/April,1955m9
0.17,-0.03,0,1955,10,95/April,1955m10
-0.04,0,0,1955,11,95/April,1955m11
0.34,0.05,0,1955,12,95/April,1955m12
-0.1,-0.04,0,1956,1,95/July,1956m1
-0.09,-0.03,0,1956,2,95/July,1956m2
-0.06,0.02,0,1956,3,95/July,1956m3
0.3,0.14,0,1956,4,95/July,1956m4
0.04,0.04,0,1956,5,95/July,1956m5
-0.12,-0.02,0,1956,6,95/July,1956m6
-0.2,0.02,0,1956,7,95/July,1956m7
0.28,0.15,0,1956,8,95/July,1956m8
0.24,0.13,0,1956,9,95/July,1956m9
0.11,0.03,0,1956,10,95/July,1956m10
0.04,0.1,0,1956,11,95/July,1956m11
0.23,0.06,0,1956,12,95/July,1956m12
-0.02,0.02,0,1957,1,95/October,1957m1
-0.05,-0.1,0,1957,2,95/October,1957m2
-0.02,-0.01,0,1957,3,95/October,1957m3
-0.03,0.01,0,1957,4,95/October,1957m4
-0.07,0.07,0,1957,5,95/October,1957m5
0.28,0.17,0,1957,6,95/October,1957m6
-0.16,0.08,0,1957,7,95/October,1957m7
0.24,0.11,0,1957,8,95/October,1957m8
0.18,0.02,0,1957,9,95/October,1957m9
0.01,-0.02,0,1957,10,95/November,1957m10
-0.25,-0.02,0,1957,11,95/November,1957m11
-0.24,-0.27,0,1957,12,95/November,1957m12
-0.5,-0.21,0,1958,1,96/January,1958m1
-1.04,-0.01,0,1958,2,96/February,1958m2
-0.21,0.04,0,1958,3,96/February,1958m3
-0.22,-0.03,0,1958,4,96/February,1958m4
-0.08,-0.03,0,1958,5,96/February,1958m5
-0.17,0,0,1958,6,96/February,1958m6
0.08,0.1,0,1958,7,96/February,1958m7
0.73,0.18,0,1958,8,96/February,1958m8
0.79,0.24,0,1958,9,96/February,1958m9
0.31,0.02,0,1958,10,96/February,1958m10
-0.03,-0.02,0,1958,11,96/February,1958m11
0.05,-0.01,0,1958,12,96/February,1958m12
0.03,0.04,0,1959,1,96/May,1959m1
-0.13,0.02,0,1959,2,96/May,1959m2
0.14,-0.01,0,1959,3,96/May,1959m3
0.11,0.1,0,1959,4,96/May,1959m4
-0.11,0.14,0,1959,5,96/May,1959m5
0.4,0.09,0,1959,6,96/May,1959m6
-0.01,0.01,0,1959,7,96/May,1959m7
0.12,-0.04,0,1959,8,96/May,1959m8
0.64,0.09,0,1959,9,96/May,1959m9
0.12,0.05,0,1959,10,96/May,1959m10
0.09,-0.01,0,1959,11,96/May,1959m11
0.36,0.02,0,1959,12,96/May,1959m12
-0.13,0.03,0,1960,1,96/August,1960m1
-0.48,-0.05,0,1960,2,96/August,1960m2
-0.52,-0.07,0,1960,3,96/August,1960m3
-0.19,-0.04,0,1960,4,96/August,1960m4
0.14,0.01,0,1960,5,96/August,1960m5
-0.75,-0.01,0,1960,6,96/August,1960m6
-0.24,-0.04,0,1960,7,96/August,1960m7
-0.11,-0.13,0,1960,8,96/August,1960m8
0.2,-0.03,0,1960,9,96/August,1960m9
-0.06,0.05,0,1960,10,96/August,1960m10
-0.04,0.01,0,1960,11,96/August,1960m11
-0.12,0.04,0,1960,12,96/August,1960m12
0.03,-0.03,0,1961,1,96/November,1961m1
0.11,-0.05,0,1961,2,96/November,1961m2
0.01,-0.05,0,1961,3,96/November,1961m3
-0.09,0.03,0,1961,4,96/November,1961m4
-0.04,0.02,0,1961,5,96/November,1961m5
0.07,0.06,0,1961,6,96/December,1961m6
-0.09,0.08,0,1961,7,96/December,1961m7
0.13,0.04,0,1961,8,96/December,1961m8
-0.1,0,0,1961,9,96/December,1961m9
0.05,-0.03,0,1961,10,96/December,1961m10
0.11,-0.03,0,1961,11,96/December,1961m11
0.16,0.03,0,1961,12,96/December,1961m12
0.13,0,0,1962,1,97/March,1962m1
0.01,0,0,1962,2,97/March,1962m2
-0.04,-0.03,0,1962,3,97/March,1962m3
0.02,-0.06,0,1962,4,97/March,1962m4
-0.04,-0.05,0,1962,5,97/March,1962m5
0.02,0,0,1962,6,97/March,1962m6
0.22,0.06,0,1962,7,97/March,1962m7
-0.1,0.01,0,1962,8,97/March,1962m8
-0.05,-0.03,0,1962,9,97/March,1962m9
-0.04,-0.04,0,1962,10,97/March,1962m10
0.05,-0.03,0,1962,11,97/March,1962m11
0.06,-0.01,0,1962,12,97/March,1962m12
0.05,-0.03,0,1963,1,97/June,1963m1
0.01,-0.02,0,1963,2,97/June,1963m2
-0.02,0,0,1963,3,97/June,1963m3
0.01,0.02,0,1963,4,97/June,1963m4
0.01,0.01,0,1963,5,97/June,1963m5
0.08,0.01,0,1963,6,97/June,1963m6
0.14,0.03,0,1963,7,97/June,1963m7
0.18,0.03,0,1963,8,97/June,1963m8
0.06,0.02,0,1963,9,97/June,1963m9
0.07,0.01,0,1963,10,97/June,1963m10
0.07,0.01,0,1963,11,97/June,1963m11
0,0.02,0,1963,12,97/June,1963m12
0.01,0.04,0,1964,1,97/September,1964m1
0,-0.03,0,1964,2,97/September,1964m2
0.02,0.02,0,1964,3,97/September,1964m3
-0.07,0.02,0,1964,4,97/September,1964m4
0,0.01,0,1964,5,97/September,1964m5
0,0,0,1964,6,97/September,1964m6
0,-0.01,0,1964,7,97/September,1964m7
0.03,0.01,0,1964,8,97/September,1964m8
