prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
0.6222222,0.7666667,1875,2205,1,0,0,0,15,7.5,20,9,0.700286,4080,-0.3562665,8.313852,1,,,
0.9722222,1.175,2900,566,0,0,1,0,10,5,20,7.5,1.005336,3466,0.0053217,8.150757,2,-0.3562665,0.3615882,
1.233333,1.475,770,1525,0,0,0,1,10,6,20,4,1.393918,2295,0.3321183,7.738488,3,0.0053217,0.3267966,0.3615882
1.928571,1.625,927,943,0,0,0,0,15,6,20,5,1.775487,1870,0.5740746,7.533694,4,0.3321183,0.2419563,0.3267966
0.803125,0.8642857,4220,2665,1,0,0,0,10,3.5,20,3.5,0.8267987,6885,-0.1901941,8.8371,5,0.5740746,-0.7642687,0.2419563
0.8818182,0.9142857,4230,1375,0,1,0,0,15,4.5,15,3.5,0.889783,5605,-0.1167776,8.631414,6,-0.1901941,0.0734164,-0.7642687
0.76875,0.83,3079,1880,0,0,1,0,10,4.5,20,3.5,0.7919704,4959,-0.2332312,8.50896,7,-0.1167776,-0.1164536,0.0734164
0.83,1,945,1240,0,0,0,1,10,4,20,4.5,0.9264759,2185,-0.0763672,7.689371,8,-0.2332312,0.156864,-0.1164536
0.6892857,0.7615384,7925,1395,0,0,0,0,10,4,15,4.5,0.7001004,9320,-0.3565316,9.139918,9,-0.0763672,-0.2801644,0.156864
1.474074,1.538889,4895,1898,1,0,0,0,20,12.5,20,3.5,1.492184,6793,0.4002406,8.823647,10,-0.3565316,0.7567722,-0.2801644
1.616667,1.5,1275,650,0,1,0,0,15,9,45,12.5,1.577273,1925,0.4556974,7.562681,11,0.4002406,0.0554568,0.7567722
1.45,1.511111,1834,636,0,0,1,0,15,7.5,30,12.5,1.465736,2470,0.3823572,7.811974,12,0.4556974,-0.0733402,0.0554568
1.279167,1.353125,4295,4522,0,0,0,1,10,4.5,25,9,1.317098,8817,0.2754309,9.084437,13,0.3823572,-0.1069264,-0.0733402
1.216667,1.26875,3120,1545,0,0,0,0,10,4.5,20,7.5,1.233916,4665,0.2101932,8.447844,14,0.2754309,-0.0652377,-0.1069264
0.89,0.9863636,4165,3075,1,0,0,0,10,6,25,4,0.9309279,7240,-0.0715735,8.887377,15,0.2101932,-0.2817667,-0.0652377
0.83,0.93,3250,540,0,1,0,0,10,4,25,6,0.844248,3790,-0.169309,8.240121,16,-0.0715735,-0.0977355,-0.2817667
1.278571,1.25,1730,300,0,0,1,0,15,8,15,6,1.274349,2030,0.2424352,7.615791,17,-0.169309,0.4117442,-0.0977355
1.083333,1.233333,1245,1640,0,0,0,1,15,8,20,4,1.168602,2885,0.1558079,7.96728,18,0.2424352,-0.0866274,0.4117442
1.0625,1.166667,540,660,0,0,0,0,15,7.5,35,8,1.119792,1200,0.1131428,7.090077,19,0.1558079,-0.042665,-0.0866274
1,1.25,110,60,1,0,0,0,20,5.5,20,5,1.088235,170,0.0845574,5.135798,20,0.1131428,-0.0285855,-0.042665
1.25,1.25,450,650,0,1,0,0,15,5.5,30,4.5,1.25,1100,0.2231435,7.003066,21,0.0845574,0.1385862,-0.0285855
0.925,0.975,1670,810,0,0,1,0,10,3,25,5.5,0.9413307,2480,-0.0604608,7.816014,22,0.2231435,-0.2836044,0.1385862
0.5958334,0.7428572,5010,1105,0,0,0,1,10,3.5,20,5.5,0.6224011,6115,-0.4741705,8.7185,23,-0.0604608,-0.4137097,-0.2836044
0.5,0.43,3785,3000,0,0,0,0,10,5,20,3,0.4690494,6785,-0.7570472,8.82247,24,-0.4741705,-0.2828767,-0.4137097
0.425,0.6,1940,840,1,0,0,0,15,5.5,35,6,0.4778777,2780,-0.7384004,7.930206,25,-0.7570472,0.0186468,-0.2828767
0.5,0.25,1680,100,0,1,0,0,15,4,20,6,0.4859551,1780,-0.7216392,7.484369,26,-0.7384004,0.0167612,0.0186468
0.5583333,0.6,1145,965,0,0,1,0,15,3,25,5.5,0.5773894,2110,-0.5492383,7.654443,27,-0.7216392,0.1724008,0.0167612
0.5142857,0.5590909,2120,2585,0,0,0,1,10,2.5,15,4,0.5389023,4705,-0.6182209,8.456381,28,-0.5492383,-0.0689826,0.1724008
0.5833334,0.5888889,1690,960,0,0,0,0,10,2.5,15,3,0.5853459,2650,-0.5355523,7.882315,29,-0.6182209,0.0826687,-0.0689826
0.6590909,0.625,4805,2040,1,0,0,0,25,8,20,3,0.6489308,6845,-0.4324291,8.831274,30,-0.5355523,0.1031231,0.0826687
0.3666667,0.6,1010,60,0,1,0,0,15,8,35,8,0.3797508,1070,-0.96824,6.975414,31,-0.4324291,-0.5358108,0.1031231
0.5125,1.25,585,200,0,0,1,0,12,6.5,35,8,0.7003981,785,-0.3561064,6.665684,32,-0.96824,0.6121336,-0.5358108
1.4875,1.45,2300,1145,0,0,0,1,12,6.5,25,8,1.475036,3445,0.3886826,8.144679,33,-0.3561064,0.744789,0.6121336
1.432143,1.42,1885,4020,0,0,0,0,10,6.5,18,6.5,1.423876,5905,0.3533829,8.683555,34,0.3886826,-0.0352996,0.744789
1.386667,1.39,2090,1370,1,0,0,0,15,6.5,20,3.5,1.387987,3460,0.3278542,8.149024,35,0.3533829,-0.0255287,-0.0352996
1.55,1.633333,330,760,0,1,0,0,10,6.5,25,5,1.608104,1090,0.4750557,6.993933,36,0.3278542,0.1472014,-0.0255287
1.196154,1.35,3040,1420,0,0,1,0,10,4.5,30,6.5,1.245136,4460,0.2192451,8.402905,37,0.4750557,-0.2558106,0.1472014
0.95,1.041667,4190,1870,0,0,0,1,15,4.5,15,6.5,0.9782867,6060,-0.0219525,8.709465,38,0.2192451,-0.2411976,-0.2558106
0.515625,0.7333333,7420,2235,0,0,0,0,10,5,20,4.5,0.5660215,9655,-0.5691232,9.175231,39,-0.0219525,-0.5471707,-0.2411976
0.4083333,0.52,6435,1445,0,1,0,0,10,4.5,20,3,0.4288102,7880,-0.8467408,8.972083,40,-0.5691232,-0.2776176,-0.5471707
0.2666667,0.35,1430,565,0,0,1,0,10,5,25,4.5,0.2902674,1995,-1.236953,7.598399,41,-0.8467408,-0.390212,-0.2776176
0.3571429,0.475,1580,1500,0,0,0,1,12,5,15,4.5,0.4145408,3080,-0.8805838,8.032685,42,-1.236953,0.356369,-0.390212
0.4214286,0.54375,4195,1330,0,0,0,0,12,4,18,5,0.4508743,5525,-0.7965667,8.617039,43,-0.8805838,0.0840172,0.356369
0.4666667,0.575,1020,1200,1,0,0,0,5,4,20,4,0.5252252,2220,-0.6439281,7.705263,44,-0.7965667,0.1526386,0.0840172
0.4333333,0.5,1220,300,0,1,0,0,10,5.5,10,3.5,0.4464912,1520,-0.8063356,7.326466,45,-0.6439281,-0.1624075,0.1526386
0.7928572,0.8333333,1570,305,0,0,1,0,15,6,15,4,0.7994413,1875,-0.2238421,7.536364,46,-0.8063356,0.5824934,-0.1624075
1.183333,1.227778,550,875,0,0,0,1,15,8,25,5.5,1.210624,1425,0.1911357,7.261927,47,-0.2238421,0.4149778,0.5824934
1.33125,1.216667,1140,1340,0,0,0,0,15,8,25,6,1.269338,2480,0.2384957,7.816014,48,0.1911357,0.04736,0.4149778
1.133333,1.1125,1040,1935,1,0,0,0,15,6,20,4,1.119783,2975,0.1131347,7.997999,49,0.2384957,-0.125361,0.04736
1.041667,1.064286,410,1300,0,1,0,0,10,4.5,30,6,1.058863,1710,0.0571954,7.444249,50,0.1131347,-0.0559393,-0.125361
0.773077,0.7681818,4320,2820,0,0,1,0,10,4.5,15,6,0.7711436,7140,-0.2598807,8.873468,51,0.0571954,-0.3170761,-0.0559393
0.7833334,0.7818182,3440,3420,0,0,0,1,5,4,20,4.5,0.7825781,6860,-0.2451616,8.833463,52,-0.2598807,0.014719,-0.3170761
