obs,series01,ret,resid,inf,dtbill
1954M01,1954M01,2.678492406,,0.37105794,-0.21
1954M02,1954M02,2.584550346,1.067061056,-0.37105794,0.06
1954M03,1954M03,4.448416133,2.435710332,0,-0.06
1954M04,1954M04,4.420518157,2.30770574,0,-0.21
1954M05,1954M05,1.221139343,-1.035711364,0,-0.12
1954M06,1954M06,4.459216736,2.930767471,0,0.08
1954M07,1954M07,2.396097467,0.420762391,0,0.2
1954M08,1954M08,2.741620566,1.297796321,-0.372439909,0.09
1954M09,1954M09,2.716833598,0.701237386,-0.373832211,-0.03
1954M10,1954M10,4.308232339,2.176428759,0.373832211,-0.05
1954M11,1954M11,4.959130781,3.278833402,0,0.22
1954M12,1954M12,2.17011486,0.234623787,0,0.07
1955M01,1955M01,3.706303839,2.177929156,0,-0.05
1955M02,1955M02,-0.434900788,-2.389604233,0,0.11
1955M03,1955M03,3.808979452,2.840494646,0,0.31
1955M04,1955M04,-0.077977136,-1.694118948,0,-0.14
1955M05,1955M05,6.145833333,4.856756828,-0.373832211,-0.04
1955M06,1955M06,7.64761815,4.821368281,0.373832211,0.19
1955M07,1955M07,-0.2960627,-2.403573132,-0.373832211,0.3
1955M08,1955M08,4.81970304,3.618447932,0.74627212,0.17
1955M09,1955M09,-4.723599835,-5.893480376,-0.372439909,0.16
1955M10,1955M10,7.067468139,6.611842647,0.372439909,0.01
1955M11,1955M11,1.238413052,-0.93428997,0,0.3
1955M12,1955M12,-2.382264345,-3.495261822,-0.372439909,-0.13
1956M01,1956M01,0.955077388,-0.257149171,0.372439909,-0.09
1956M02,1956M02,7.211718809,6.159389599,0,-0.07
1956M03,1956M03,1.486862146,-1.187514858,0,0.35
1956M04,1956M04,-2.834431148,-3.947153234,0.37105794,0.01
1956M05,1956M05,-0.257842716,-0.455457779,0.73801073,-0.12
1956M06,1956M06,5.751266119,5.296969269,0.366972889,-0.18
1956M07,1956M07,-0.282446699,-2.387691296,0,0.29
1956M08,1956M08,-3.086547054,-3.905935155,0.36563112,0.24
1956M09,1956M09,-0.959530672,-0.883150323,0.364299128,0.06
1956M10,1956M10,-0.718474265,-1.24760811,0,0.09
1956M11,1956M11,1.802884615,0.871057114,0.362976805,0.22
1956M12,1956M12,-1.863215978,-2.785578215,0.361664047,-0.1
1957M01,1957M01,-3.996380879,-4.507489576,0.36036075,-0.01
1957M02,1957M02,1.619891113,1.622978283,0.359066813,-0.02
1957M03,1957M03,2.644030585,1.514698093,0,-0.01
1957M04,1957M04,4.160192379,2.457427571,0.357782135,-0.01
1957M05,1957M05,1.954182699,0.326391277,0.356506616,0.23
1957M06,1957M06,2.323869611,1.374451216,0.35524016,-0.13
1957M07,1957M07,-5.203394489,-6.587000829,0.353982671,0.21
1957M08,1957M08,-3.737638162,-3.280923515,0,0.16
1957M09,1957M09,-5.894724875,-6.154071762,0,0.05
1957M10,1957M10,-1.798415778,-1.736892255,0.352734052,-0.27
1957M11,1957M11,0.320115655,-0.382907799,0.351494211,-0.27
1957M12,1957M12,2.327326639,1.200108461,0.350263055,-0.6
1958M01,1958M01,0.700524887,-1.157793444,0.349040494,-0.91
1958M02,1958M02,2.417595734,0.57352965,0.694447235,-0.23
1958M03,1958M03,0.893823716,-0.250215752,0,-0.17
1958M04,1958M04,3.555213746,2.042231865,0,-0.22
1958M05,1958M05,2.732646834,0.638548219,0,-0.08
1958M06,1958M06,3.070763501,1.280493109,0,0.08
1958M07,1958M07,4.054298971,2.356117032,0,0.78
1958M08,1958M08,2.943745632,1.747403757,0,0.75
1958M09,1958M09,4.360135825,3.355553274,0,0.19
1958M10,1958M10,3.327335623,1.481490236,0.345423487,0.04
1958M11,1958M11,2.163492063,0.738774745,0,0.1
