obs,resid,ojfro,ojfin,frz,cojfro
1,,43.29999924,28.10000038,0,
2,,39,27.89962006,6,-9.930714348
3,,39,27.89962006,0,0
4,,39,28,0,0
5,,39,28.20000076,0,0
6,,39,28.29924011,0,0
7,,39,28.70000076,0,0
8,,39,29,0,0
9,,39,29,0,0
10,,39,28.89962006,0,0
11,,39,28.70000076,0,0
12,,39,28.5,0,0
13,,37.29999924,28.29924011,0,-4.358976315
14,,37.29999924,28,0,0
15,,37.79999924,27.89962006,0,1.340482601
16,,42.79999924,27.79924011,0,13.22751349
17,,45.70000076,27.60000038,0,6.77570462
18,,45.70000076,27.5,0,0
19,0.010311338,45.70000076,27.5,0,0
20,0.02356277,45.70000076,27.5,0,0
21,-0.003063927,45.70000076,27.60000038,0,0
22,-0.003063927,45.70000076,27.5,0,0
23,-5.473523355,43.20000076,27.39962006,0,-5.470459427
24,-9.262323023,39.20000076,27.20000076,0,-9.259259096
25,11.22141981,43.59999847,27.20000076,0,11.22448374
26,19.4923496,52.09999847,27.20000076,0,19.49541353
27,-10.55968612,46.59999847,27.20000076,0,-10.55662219
28,-0.003063927,46.59999847,27.20000076,0,0
29,-0.003063927,46.59999847,27.29924011,0,0
30,-0.003063927,46.59999847,27.39962006,0,0
31,-0.003063927,46.59999847,28,0,0
32,-0.003063927,46.59999847,28.70000076,0,0
33,-0.003063927,46.59999847,29.10000038,0,0
34,-14.59533745,39.79999924,29.20000076,0,-14.59227352
35,4.519547308,41.59999847,29.5,0,4.522611235
36,-3.023056594,41.29999924,30,4,-0.721152039
37,-1.849089152,41.29999924,30.5,2,0
38,-1.20378595,41.29999924,30.79924011,1,0
39,-0.576611549,41.29999924,30.79924011,0,0
40,-0.271989457,41.29999924,30.79924011,0,0
41,7.033317435,44.29999924,30.89962006,0,7.263922652
42,1.625406335,45.09999847,30.79924011,0,1.805867383
43,-6.73158925,42.09999847,30.79924011,0,-6.651884926
44,0.329391308,42.20000076,30.79924011,0,0.237535136
45,-2.052088746,41.29999924,30.79924011,0,-2.132704999
46,0.469901639,41.29999924,31,0,0
47,-12.2981294,36,31,0,-12.83292817
48,-3.060518899,34.59999847,30.89962006,0,-3.888893127
49,0.815400358,34.59999847,30.79924011,0,0
50,0.625146403,34.59999847,30.70000076,0,0
51,0.359748897,34.59999847,30.79924011,0,0
52,0.116188818,34.59999847,30.60000038,0,0
53,-12.97260649,30.10000038,30.60000038,0,-13.00577541
54,0.017878744,30.10000038,30.5,0,0
55,14.95820044,34.59999847,30.79924011,0,14.95015959
56,0.001373856,34.59999847,30.79924011,0,0
57,-0.003063927,34.59999847,30.79924011,0,0
58,-0.003063927,34.59999847,30.60000038,0,0
59,-0.003063927,34.59999847,30.5,0,0
60,-13.00883934,30.10000038,30.20000076,0,-13.00577541
61,6.973681438,32.20000076,30.29924011,0,6.976745365
62,-0.003063927,32.20000076,30.20000076,0,0
63,-0.003063927,32.20000076,30.20000076,0,0
64,7.450344937,34.59999847,30.10000038,0,7.453408864
65,-0.003063927,34.59999847,30.20000076,0,0
66,6.066307117,36.70000076,30.20000076,0,6.069371045
67,6.808925032,39.20000076,30.5,0,6.811988959
68,6.374486969,41.70000076,30.5,0,6.377550896
69,-0.003063927,41.70000076,30.60000038,0,0
70,-0.003063927,41.70000076,30.5,0,0
71,-0.003063927,41.70000076,30.39962006,0,0
72,-16.54982987,34.79999924,30.29924011,0,-16.54676595
73,-0.003063927,34.79999924,30.5,0,0
74,-15.80766197,29.29999924,30.39962006,0,-15.80459805
75,-10.24197204,26.29999924,30.29924011,0,-10.23890812
76,12.9246989,29.70000076,30.5,0,12.92776283
77,21.20905417,36,30.5,0,21.2121181
