RCAN,RGER,RJAP,RUK
1,1,1,1
0.98677,1.10386,1.1094,1.029968
0.95871,1.08259,1.1209,1.005072
0.97957,1.09683,1.118,0.998046
0.96717,1.11486,1.1184,1.016476
0.97035,1.21135,1.0951,1.01266
0.97928,1.27155,1.1324,1.004521
0.94631,1.16905,1.1047,0.939662
0.96347,1.20589,1.1378,0.954488
0.97718,1.20168,1.1583,0.988201
0.99898,1.14643,1.1396,0.952135
0.98677,1.09725,1.1859,0.941448
0.98622,1.06876,1.1464,0.943886
1.012,1.12378,1.1939,0.95209
1.02006,1.18278,1.2365,0.996079
1.02364,1.20452,1.2142,1.027507
1.02994,1.17159,1.2046,1.013591
1.01614,1.1579,1.207,1.017783
0.9952,1.12366,1.1226,0.995392
0.9741,1.05838,1.0837,0.939024
0.97773,1.0645,1.0993,0.963593
0.98369,1.09015,1.0905,0.969257
0.99319,1.12107,1.0802,0.973939
0.99071,1.15047,1.079,0.999365
0.98111,1.19258,1.0878,1.042737
1.00675,1.22036,1.1161,1.080044
1.00647,1.19873,1.0961,1.1003
0.98123,1.17533,1.0883,1.084376
0.97206,1.18265,1.0888,1.090249
0.96116,1.17615,1.0687,1.040794
0.96893,1.07372,1.053,1.020868
0.96339,1.06604,1.0598,1.003497
0.98474,1.03061,1.0378,0.975522
0.98655,1.06522,1.0347,0.999278
0.99646,1.04044,1.0337,0.989134
0.98753,1.03934,1.0367,0.997829
0.9994,1.06189,1.0385,1.007663
1.01653,1.07352,1.0562,1.017752
1.01503,1.09681,1.0632,0.968028
1.03241,1.08866,1.068,0.935391
1.02797,1.0616,1.0617,0.900332
1.03235,1.07784,1.0643,0.918132
1.01783,1.08264,1.0831,0.922325
1.01462,1.09227,1.102,0.93467
1.03823,1.12417,1.1146,0.879801
1.03635,1.13407,1.0902,0.852311
0.9721,1.13304,1.0818,0.902726
0.98889,1.14201,1.0831,0.934574
0.99173,1.12579,1.0894,0.966332
0.95661,1.12705,1.1148,0.967511
0.95629,1.11971,1.1235,0.96985
0.97102,1.13381,1.1103,0.974876
0.96306,1.13052,1.1076,0.984471
0.95962,1.14233,1.1347,1.002566
0.94839,1.16162,1.1383,1.021042
0.96252,1.14825,1.1348,1.033649
0.96069,1.15154,1.139,1.041188
0.9231,1.17017,1.1911,1.090695
0.93792,1.17723,1.1943,1.078026
0.94429,1.21415,1.2123,1.13174
0.92303,1.21583,1.197,1.152805
