Date,Adj Close
03/01/1950,16.66
04/01/1950,16.85
05/01/1950,16.93
06/01/1950,16.98
09/01/1950,17.08
10/01/1950,17.03
11/01/1950,17.09
12/01/1950,16.76
13/01/1950,16.67
16/01/1950,16.72
17/01/1950,16.86
18/01/1950,16.85
19/01/1950,16.87
20/01/1950,16.9
23/01/1950,16.92
24/01/1950,16.86
25/01/1950,16.74
26/01/1950,16.73
27/01/1950,16.82
30/01/1950,17.02
31/01/1950,17.05
01/02/1950,17.05
02/02/1950,17.23
03/02/1950,17.29
06/02/1950,17.32
07/02/1950,17.23
08/02/1950,17.21
09/02/1950,17.28
10/02/1950,17.24
14/02/1950,17.06
15/02/1950,17.06
16/02/1950,16.99
17/02/1950,17.15
20/02/1950,17.2
21/02/1950,17.17
23/02/1950,17.21
24/02/1950,17.28
27/02/1950,17.28
28/02/1950,17.22
01/03/1950,17.24
02/03/1950,17.23
03/03/1950,17.29
06/03/1950,17.32
07/03/1950,17.2
08/03/1950,17.19
09/03/1950,17.07
10/03/1950,17.09
13/03/1950,17.12
14/03/1950,17.25
15/03/1950,17.45
16/03/1950,17.49
17/03/1950,17.45
20/03/1950,17.44
21/03/1950,17.45
22/03/1950,17.55
23/03/1950,17.56
24/03/1950,17.56
27/03/1950,17.46
28/03/1950,17.53
29/03/1950,17.44
30/03/1950,17.3
31/03/1950,17.29
03/04/1950,17.53
04/04/1950,17.55
05/04/1950,17.63
06/04/1950,17.78
10/04/1950,17.85
11/04/1950,17.75
12/04/1950,17.94
13/04/1950,17.98
14/04/1950,17.96
17/04/1950,17.88
18/04/1950,18.03
19/04/1950,18.05
20/04/1950,17.93
21/04/1950,17.96
24/04/1950,17.83
25/04/1950,17.83
26/04/1950,17.76
27/04/1950,17.86
28/04/1950,17.96
01/05/1950,18.22
02/05/1950,18.11
03/05/1950,18.27
04/05/1950,18.12
05/05/1950,18.22
08/05/1950,18.27
09/05/1950,18.27
10/05/1950,18.29
11/05/1950,18.29
12/05/1950,18.18
15/05/1950,18.26
16/05/1950,18.44
17/05/1950,18.52
18/05/1950,18.56
19/05/1950,18.68
22/05/1950,18.6
23/05/1950,18.71
24/05/1950,18.69
25/05/1950,18.69
26/05/1950,18.67
29/05/1950,18.72
31/05/1950,18.78
01/06/1950,18.77
02/06/1950,18.79
05/06/1950,18.6
06/06/1950,18.88
07/06/1950,18.93
08/06/1950,19.14
09/06/1950,19.26
12/06/1950,19.4
13/06/1950,19.25
14/06/1950,18.98
15/06/1950,18.93
16/06/1950,18.97
19/06/1950,18.92
20/06/1950,18.83
21/06/1950,19
22/06/1950,19.16
23/06/1950,19.14
26/06/1950,18.11
27/06/1950,17.91
28/06/1950,18.11
29/06/1950,17.44
30/06/1950,17.69
03/07/1950,17.64
05/07/1950,17.81
06/07/1950,17.91
07/07/1950,17.67
10/07/1950,17.59
11/07/1950,17.32
12/07/1950,16.87
13/07/1950,16.69
14/07/1950,16.87
17/07/1950,16.68
18/07/1950,17.06
19/07/1950,17.36
20/07/1950,17.61
21/07/1950,17.59
24/07/1950,17.48
25/07/1950,17.23
26/07/1950,17.27
27/07/1950,17.5
28/07/1950,17.69
31/07/1950,17.84
01/08/1950,18.02
02/08/1950,17.95
03/08/1950,17.99
04/08/1950,18.14
07/08/1950,18.41
08/08/1950,18.46
09/08/1950,18.61
10/08/1950,18.48
11/08/1950,18.28
14/08/1950,18.29
15/08/1950,18.32
16/08/1950,18.34
17/08/1950,18.54
18/08/1950,18.68
21/08/1950,18.7
22/08/1950,18.68
23/08/1950,18.82
24/08/1950,18.79
25/08/1950,18.54
28/08/1950,18.53
29/08/1950,18.54
30/08/1950,18.43
31/08/1950,18.42
01/09/1950,18.55
05/09/1950,18.68
06/09/1950,18.54
07/09/1950,18.59
08/09/1950,18.75
11/09/1950,18.61
12/09/1950,18.87
13/09/1950,19.09
14/09/1950,19.18
15/09/1950,19.29
18/09/1950,19.37
19/09/1950,19.31
20/09/1950,19.21
21/09/1950,19.37
22/09/1950,19.44
25/09/1950,19.42
26/09/1950,19.14
27/09/1950,19.41
28/09/1950,19.42
29/09/1950,19.45
02/10/1950,19.69
03/10/1950,19.66
04/10/1950,20
05/10/1950,19.89
06/10/1950,20.12
09/10/1950,20
10/10/1950,19.78
11/10/1950,19.86
13/10/1950,19.85
16/10/1950,19.71
17/10/1950,19.89
18/10/1950,20.01
19/10/1950,20.02
20/10/1950,19.96
23/10/1950,19.96
24/10/1950,20.08
25/10/1950,20.05
26/10/1950,19.61
27/10/1950,19.77
30/10/1950,19.61
31/10/1950,19.53
01/11/1950,19.56
02/11/1950,19.73
03/11/1950,19.85
06/11/1950,19.36
08/11/1950,19.56
09/11/1950,19.79
10/11/1950,19.94
13/11/1950,20.01
14/11/1950,19.86
15/11/1950,19.82
16/11/1950,19.72
17/11/1950,19.86
20/11/1950,19.93
21/11/1950,19.88
22/11/1950,20.16
24/11/1950,20.32
27/11/1950,20.18
28/11/1950,19.56
29/11/1950,19.37
30/11/1950,19.51
01/12/1950,19.66
04/12/1950,19
05/12/1950,19.31
06/12/1950,19.45
07/12/1950,19.4
08/12/1950,19.4
11/12/1950,19.72
12/12/1950,19.68
13/12/1950,19.67
14/12/1950,19.43
15/12/1950,19.33
18/12/1950,19.85
19/12/1950,19.96
20/12/1950,19.97
21/12/1950,19.98
22/12/1950,20.07
26/12/1950,19.92
27/12/1950,20.3
28/12/1950,20.38
29/12/1950,20.43
02/01/1951,20.77
03/01/1951,20.69
04/01/1951,20.87
05/01/1951,20.87
08/01/1951,21
09/01/1951,21.12
10/01/1951,20.85
11/01/1951,21.19
12/01/1951,21.11
15/01/1951,21.3
16/01/1951,21.46
17/01/1951,21.55
18/01/1951,21.4
19/01/1951,21.36
22/01/1951,21.18
23/01/1951,21.26
24/01/1951,21.16
25/01/1951,21.03
26/01/1951,21.26
29/01/1951,21.67
30/01/1951,21.74
31/01/1951,21.66
01/02/1951,21.77
02/02/1951,21.96
05/02/1951,22.2
06/02/1951,22.12
07/02/1951,21.99
08/02/1951,22.09
09/02/1951,22.17
13/02/1951,22.18
14/02/1951,22.12
15/02/1951,22
16/02/1951,22.13
19/02/1951,21.83
20/02/1951,21.79
21/02/1951,21.86
23/02/1951,21.92
26/02/1951,21.93
27/02/1951,21.76
28/02/1951,21.8
01/03/1951,21.85
02/03/1951,21.93
05/03/1951,21.79
06/03/1951,21.79
07/03/1951,21.86
08/03/1951,21.95
09/03/1951,21.95
12/03/1951,21.7
13/03/1951,21.41
14/03/1951,21.25
15/03/1951,21.29
16/03/1951,21.64
19/03/1951,21.56
20/03/1951,21.52
21/03/1951,21.64
22/03/1951,21.73
26/03/1951,21.53
27/03/1951,21.51
28/03/1951,21.26
29/03/1951,21.33
30/03/1951,21.48
02/04/1951,21.32
03/04/1951,21.26
04/04/1951,21.4
05/04/1951,21.69
06/04/1951,21.72
09/04/1951,21.68
10/04/1951,21.65
11/04/1951,21.64
12/04/1951,21.83
13/04/1951,22.09
16/04/1951,22.04
17/04/1951,22.09
18/04/1951,22.13
19/04/1951,22.04
20/04/1951,22.04
23/04/1951,22.05
24/04/1951,21.96
25/04/1951,21.97
26/04/1951,22.16
27/04/1951,22.39
30/04/1951,22.43
01/05/1951,22.53
02/05/1951,22.62
03/05/1951,22.81
04/05/1951,22.77
07/05/1951,22.63
08/05/1951,22.61
09/05/1951,22.64
10/05/1951,22.51
11/05/1951,22.33
14/05/1951,22.18
15/05/1951,21.76
16/05/1951,21.69
17/05/1951,21.91
18/05/1951,21.51
21/05/1951,21.46
22/05/1951,21.36
23/05/1951,21.16
24/05/1951,21.05
25/05/1951,21.03
28/05/1951,21.21
29/05/1951,21.35
31/05/1951,21.52
01/06/1951,21.48
04/06/1951,21.24
05/06/1951,21.33
06/06/1951,21.48
07/06/1951,21.56
08/06/1951,21.49
11/06/1951,21.61
12/06/1951,21.52
13/06/1951,21.55
14/06/1951,21.84
15/06/1951,22.04
18/06/1951,22.05
19/06/1951,22.02
20/06/1951,21.91
21/06/1951,21.78
22/06/1951,21.55
25/06/1951,21.29
26/06/1951,21.3
27/06/1951,21.37
28/06/1951,21.1
29/06/1951,20.96
02/07/1951,21.1
03/07/1951,21.23
05/07/1951,21.64
06/07/1951,21.64
09/07/1951,21.73
10/07/1951,21.63
11/07/1951,21.68
12/07/1951,21.8
13/07/1951,21.98
16/07/1951,21.73
17/07/1951,21.92
18/07/1951,21.88
19/07/1951,21.84
20/07/1951,21.88
23/07/1951,22.1
24/07/1951,22.44
25/07/1951,22.32
26/07/1951,22.47
27/07/1951,22.53
30/07/1951,22.63
31/07/1951,22.4
01/08/1951,22.51
02/08/1951,22.82
03/08/1951,22.85
06/08/1951,23.01
07/08/1951,23.03
08/08/1951,22.93
09/08/1951,22.84
10/08/1951,22.79
13/08/1951,22.8
14/08/1951,22.7
15/08/1951,22.79
16/08/1951,22.87
17/08/1951,22.94
20/08/1951,22.93
21/08/1951,22.83
22/08/1951,22.75
23/08/1951,22.9
24/08/1951,22.88
27/08/1951,22.85
28/08/1951,22.9
29/08/1951,23.08
30/08/1951,23.24
31/08/1951,23.28
04/09/1951,23.28
05/09/1951,23.42
06/09/1951,23.47
07/09/1951,23.53
10/09/1951,23.62
11/09/1951,23.5
12/09/1951,23.6
13/09/1951,23.71
14/09/1951,23.69
17/09/1951,23.62
18/09/1951,23.59
19/09/1951,23.59
20/09/1951,23.57
21/09/1951,23.4
24/09/1951,23.3
25/09/1951,23.38
26/09/1951,23.4
27/09/1951,23.27
28/09/1951,23.26
01/10/1951,23.47
02/10/1951,23.64
03/10/1951,23.79
04/10/1951,23.72
05/10/1951,23.78
08/10/1951,23.75
09/10/1951,23.65
10/10/1951,23.61
11/10/1951,23.7
15/10/1951,23.85
16/10/1951,23.77
17/10/1951,23.69
18/10/1951,23.67
19/10/1951,23.32
22/10/1951,22.75
23/10/1951,22.84
24/10/1951,23.03
25/10/1951,22.96
26/10/1951,22.81
29/10/1951,22.69
30/10/1951,22.66
31/10/1951,22.94
01/11/1951,23.1
02/11/1951,22.93
05/11/1951,22.82
07/11/1951,22.49
08/11/1951,22.47
09/11/1951,22.75
13/11/1951,22.79
14/11/1951,22.85
15/11/1951,22.84
16/11/1951,22.82
19/11/1951,22.73
20/11/1951,22.68
21/11/1951,22.64
23/11/1951,22.4
26/11/1951,22.43
27/11/1951,22.66
28/11/1951,22.61
29/11/1951,22.67
30/11/1951,22.88
03/12/1951,23.01
04/12/1951,23.14
05/12/1951,23.07
06/12/1951,23.34
07/12/1951,23.38
10/12/1951,23.42
11/12/1951,23.3
12/12/1951,23.37
13/12/1951,23.39
14/12/1951,23.37
17/12/1951,23.41
18/12/1951,23.49
19/12/1951,23.57
20/12/1951,23.57
21/12/1951,23.51
24/12/1951,23.54
26/12/1951,23.44
27/12/1951,23.65
28/12/1951,23.69
31/12/1951,23.77
02/01/1952,23.8
03/01/1952,23.88
04/01/1952,23.92
07/01/1952,23.91
08/01/1952,23.82
09/01/1952,23.74
10/01/1952,23.86
11/01/1952,23.98
14/01/1952,24.16
15/01/1952,24.06
16/01/1952,24.09
17/01/1952,24.2
18/01/1952,24.25
21/01/1952,24.46
22/01/1952,24.66
23/01/1952,24.54
24/01/1952,24.56
25/01/1952,24.55
28/01/1952,24.61
29/01/1952,24.57
30/01/1952,24.23
31/01/1952,24.14
01/02/1952,24.3
04/02/1952,24.12
05/02/1952,24.11
06/02/1952,24.18
07/02/1952,24.11
08/02/1952,24.24
11/02/1952,24.11
13/02/1952,23.92
14/02/1952,23.87
15/02/1952,23.86
18/02/1952,23.74
19/02/1952,23.36
20/02/1952,23.09
21/02/1952,23.16
25/02/1952,23.23
26/02/1952,23.15
27/02/1952,23.18
28/02/1952,23.29
29/02/1952,23.26
03/03/1952,23.29
04/03/1952,23.68
05/03/1952,23.71
06/03/1952,23.69
07/03/1952,23.72
10/03/1952,23.6
11/03/1952,23.62
12/03/1952,23.73
13/03/1952,23.75
14/03/1952,23.75
17/03/1952,23.92
18/03/1952,23.87
19/03/1952,23.82
20/03/1952,23.89
21/03/1952,23.93
24/03/1952,23.93
25/03/1952,23.79
26/03/1952,23.78
27/03/1952,23.99
28/03/1952,24.18
31/03/1952,24.37
01/04/1952,24.18
02/04/1952,24.12
03/04/1952,24.12
04/04/1952,24.02
07/04/1952,23.8
08/04/1952,23.91
09/04/1952,23.94
10/04/1952,24.11
14/04/1952,23.95
15/04/1952,23.65
16/04/1952,23.58
17/04/1952,23.41
18/04/1952,23.5
21/04/1952,23.69
22/04/1952,23.58
23/04/1952,23.48
24/04/1952,23.43
25/04/1952,23.54
28/04/1952,23.55
29/04/1952,23.49
30/04/1952,23.32
01/05/1952,23.17
02/05/1952,23.56
05/05/1952,23.66
06/05/1952,23.67
07/05/1952,23.81
08/05/1952,23.86
09/05/1952,23.84
12/05/1952,23.75
13/05/1952,23.78
14/05/1952,23.68
15/05/1952,23.6
16/05/1952,23.56
19/05/1952,23.61
20/05/1952,23.74
21/05/1952,23.78
22/05/1952,23.91
23/05/1952,23.89
26/05/1952,23.94
27/05/1952,23.88
28/05/1952,23.84
29/05/1952,23.86
02/06/1952,23.8
03/06/1952,23.78
04/06/1952,23.95
05/06/1952,24.1
06/06/1952,24.26
09/06/1952,24.37
10/06/1952,24.23
11/06/1952,24.31
12/06/1952,24.31
13/06/1952,24.37
16/06/1952,24.3
17/06/1952,24.33
18/06/1952,24.43
19/06/1952,24.51
20/06/1952,24.59
23/06/1952,24.56
24/06/1952,24.6
25/06/1952,24.66
26/06/1952,24.75
27/06/1952,24.83
30/06/1952,24.96
01/07/1952,25.12
02/07/1952,25.06
03/07/1952,25.05
07/07/1952,24.97
08/07/1952,24.96
09/07/1952,24.86
10/07/1952,24.81
11/07/1952,24.98
14/07/1952,25.03
15/07/1952,25.16
16/07/1952,25.16
17/07/1952,25.05
18/07/1952,24.85
21/07/1952,24.95
22/07/1952,25
23/07/1952,25.11
24/07/1952,25.24
25/07/1952,25.16
28/07/1952,25.2
29/07/1952,25.26
30/07/1952,25.37
31/07/1952,25.4
01/08/1952,25.45
04/08/1952,25.43
05/08/1952,25.46
06/08/1952,25.44
07/08/1952,25.52
08/08/1952,25.55
11/08/1952,25.52
12/08/1952,25.31
13/08/1952,25.28
14/08/1952,25.28
15/08/1952,25.2
18/08/1952,24.94
19/08/1952,24.89
20/08/1952,24.95
21/08/1952,24.98
22/08/1952,24.99
25/08/1952,24.87
26/08/1952,24.83
27/08/1952,24.94
28/08/1952,24.97
29/08/1952,25.03
02/09/1952,25.15
03/09/1952,25.25
04/09/1952,25.24
05/09/1952,25.21
08/09/1952,25.11
09/09/1952,24.86
10/09/1952,24.69
11/09/1952,24.72
12/09/1952,24.71
15/09/1952,24.45
16/09/1952,24.53
17/09/1952,24.58
18/09/1952,24.51
19/09/1952,24.57
22/09/1952,24.59
23/09/1952,24.7
24/09/1952,24.79
25/09/1952,24.81
26/09/1952,24.73
29/09/1952,24.68
30/09/1952,24.54
01/10/1952,24.48
02/10/1952,24.52
03/10/1952,24.5
06/10/1952,24.44
07/10/1952,24.4
08/10/1952,24.58
09/10/1952,24.57
10/10/1952,24.55
14/10/1952,24.48
15/10/1952,24.06
16/10/1952,23.91
17/10/1952,24.2
20/10/1952,24.13
21/10/1952,24.07
22/10/1952,23.8
23/10/1952,23.87
24/10/1952,24.03
27/10/1952,24.09
28/10/1952,24.13
29/10/1952,24.15
30/10/1952,24.15
31/10/1952,24.52
03/11/1952,24.6
05/11/1952,24.67
06/11/1952,24.77
07/11/1952,24.78
10/11/1952,24.77
12/11/1952,24.65
13/11/1952,24.71
14/11/1952,24.75
17/11/1952,24.8
18/11/1952,25.16
19/11/1952,25.33
20/11/1952,25.28
21/11/1952,25.27
24/11/1952,25.42
25/11/1952,25.36
26/11/1952,25.52
28/11/1952,25.66
01/12/1952,25.68
02/12/1952,25.74
03/12/1952,25.71
04/12/1952,25.61
05/12/1952,25.62
08/12/1952,25.76
09/12/1952,25.93
10/12/1952,25.98
11/12/1952,25.96
12/12/1952,26.04
15/12/1952,26.04
16/12/1952,26.07
17/12/1952,26.04
18/12/1952,26.03
19/12/1952,26.15
22/12/1952,26.3
23/12/1952,26.19
24/12/1952,26.21
26/12/1952,26.25
29/12/1952,26.4
30/12/1952,26.59
31/12/1952,26.57
02/01/1953,26.54
05/01/1953,26.66
06/01/1953,26.48
07/01/1953,26.37
08/01/1953,26.33
09/01/1953,26.08
12/01/1953,25.86
13/01/1953,26.02
14/01/1953,26.08
15/01/1953,26.13
16/01/1953,26.02
19/01/1953,26.01
20/01/1953,26.14
21/01/1953,26.09
22/01/1953,26.12
23/01/1953,26.07
26/01/1953,26.02
27/01/1953,26.05
28/01/1953,26.13
29/01/1953,26.2
30/01/1953,26.38
02/02/1953,26.51
03/02/1953,26.54
04/02/1953,26.42
05/02/1953,26.15
06/02/1953,26.51
09/02/1953,25.69
10/02/1953,25.62
11/02/1953,25.64
13/02/1953,25.74
16/02/1953,25.65
17/02/1953,25.5
18/02/1953,25.48
19/02/1953,25.57
20/02/1953,25.63
24/02/1953,25.75
25/02/1953,25.91
26/02/1953,25.95
27/02/1953,25.9
02/03/1953,25.93
03/03/1953,26
04/03/1953,25.78
05/03/1953,25.79
06/03/1953,25.84
09/03/1953,25.83
10/03/1953,25.91
11/03/1953,26.12
12/03/1953,26.13
13/03/1953,26.18
16/03/1953,26.22
17/03/1953,26.33
18/03/1953,26.24
19/03/1953,26.22
20/03/1953,26.18
23/03/1953,26.02
24/03/1953,26.17
25/03/1953,26.1
26/03/1953,25.95
27/03/1953,25.99
30/03/1953,25.61
31/03/1953,25.29
01/04/1953,25.25
02/04/1953,25.23
06/04/1953,24.61
07/04/1953,24.71
08/04/1953,24.93
09/04/1953,24.88
10/04/1953,24.82
13/04/1953,24.77
14/04/1953,24.86
15/04/1953,24.96
16/04/1953,24.91
17/04/1953,24.62
20/04/1953,24.73
21/04/1953,24.67
22/04/1953,24.46
23/04/1953,24.19
24/04/1953,24.2
27/04/1953,24.34
28/04/1953,24.52
29/04/1953,24.68
30/04/1953,24.62
01/05/1953,24.73
04/05/1953,25
05/05/1953,25.03
06/05/1953,25
07/05/1953,24.9
08/05/1953,24.9
11/05/1953,24.91
12/05/1953,24.74
13/05/1953,24.71
14/05/1953,24.85
15/05/1953,24.84
18/05/1953,24.75
19/05/1953,24.7
20/05/1953,24.93
21/05/1953,25.06
22/05/1953,25.03
25/05/1953,24.99
26/05/1953,24.87
27/05/1953,24.64
28/05/1953,24.46
29/05/1953,24.54
01/06/1953,24.15
02/06/1953,24.22
03/06/1953,24.18
04/06/1953,24.03
05/06/1953,24.09
08/06/1953,24.01
09/06/1953,23.6
10/06/1953,23.54
11/06/1953,23.75
12/06/1953,23.82
15/06/1953,23.62
16/06/1953,23.55
17/06/1953,23.85
18/06/1953,23.84
19/06/1953,23.84
22/06/1953,23.96
23/06/1953,24.12
24/06/1953,24.09
25/06/1953,24.19
26/06/1953,24.21
29/06/1953,24.14
30/06/1953,24.14
01/07/1953,24.24
02/07/1953,24.31
03/07/1953,24.36
06/07/1953,24.38
07/07/1953,24.51
08/07/1953,24.5
09/07/1953,24.43
10/07/1953,24.41
13/07/1953,24.17
14/07/1953,24.08
15/07/1953,24.15
16/07/1953,24.18
17/07/1953,24.35
20/07/1953,24.22
21/07/1953,24.16
22/07/1953,24.19
23/07/1953,24.23
24/07/1953,24.23
27/07/1953,24.07
28/07/1953,24.11
29/07/1953,24.26
30/07/1953,24.49
31/07/1953,24.75
03/08/1953,24.84
04/08/1953,24.78
05/08/1953,24.68
06/08/1953,24.8
07/08/1953,24.78
10/08/1953,24.75
11/08/1953,24.72
12/08/1953,24.78
13/08/1953,24.73
14/08/1953,24.62
17/08/1953,24.56
18/08/1953,24.46
19/08/1953,24.31
20/08/1953,24.29
21/08/1953,24.35
24/08/1953,24.09
25/08/1953,23.93
26/08/1953,23.86
27/08/1953,23.79
28/08/1953,23.74
31/08/1953,23.32
01/09/1953,23.42
02/09/1953,23.56
03/09/1953,23.51
04/09/1953,23.57
08/09/1953,23.61
09/09/1953,23.65
10/09/1953,23.41
11/09/1953,23.14
14/09/1953,22.71
15/09/1953,22.9
16/09/1953,23.01
17/09/1953,23.07
18/09/1953,22.95
21/09/1953,22.88
22/09/1953,23.2
23/09/1953,23.23
24/09/1953,23.24
25/09/1953,23.3
28/09/1953,23.45
29/09/1953,23.49
30/09/1953,23.35
01/10/1953,23.49
02/10/1953,23.59
05/10/1953,23.48
06/10/1953,23.39
07/10/1953,23.58
08/10/1953,23.62
09/10/1953,23.66
13/10/1953,23.57
14/10/1953,23.68
15/10/1953,23.95
16/10/1953,24.14
