obs,rec,resid,soi
1,68.63,,0.377
2,68.63,,0.246
3,68.63,,0.311
4,68.63,,0.104
5,68.63,,-0.016
6,68.63,,0.235
7,59.16,,0.137
8,48.7,,0.191
9,47.54,,-0.016
10,50.91,,0.29
11,44.7,,0.038
12,42.85,,-0.016
13,39.62,-2.147155684,-0.158
14,44.45,1.605396092,0.366
15,38.98,-5.381189177,0.607
16,42.62,-0.120928385,-0.355
17,48.27,-0.450661771,-0.18
18,59.39,4.136357637,0.268
19,51.66,-5.532091416,0.093
20,38.55,-3.475555199,0.027
21,60.33,8.665532159,0.246
22,72.27,2.275024365,0.202
23,68.62,-1.77699423,0.432
24,69.63,-2.022016072,0.617
25,72.2,4.593325734,0.76
26,67.87,0.837958326,0.891
27,64.91001,-3.349852488,0.607
28,53.85,-4.326463163,0.574
29,37.96,-3.572008939,0.005
30,23.23,-2.57428035,0.475
31,12.68,1.690377397,0.202
32,9.84,-1.246208339,-0.027
33,7.82,-1.062761143,-0.038
34,11.78,-5.772229174,0.716
35,10.22,1.335864427,0.836
36,12.19,-2.842383726,0.891
37,18.6,-4.987437873,0.53
38,26.97,-0.812061314,0.53
39,22.52,1.015939824,0.377
40,19.18,1.919898025,-0.235
41,17.14,2.692503139,-0.585
42,18.61,-1.223247602,-0.18
43,20.02,-1.376107839,-0.53
44,22.65,-2.057364459,-0.464
45,38.99,-0.404773721,-0.443
46,76.55,15.90753476,0.049
47,87.99,-1.819928837,0.454
48,99.8,-2.938787977,0.257
49,96.69,-11.33313862,0.41
50,87.45,-9.477268021,0.224
51,88.57,5.16256419,0.148
52,97.43,14.78091255,-0.432
53,99.99,0.290354549,-0.093
54,94.88,2.480944463,-0.268
55,86.99,0.94468814,0.158
56,79.73001,1.253428185,-0.06
57,92.35,6.68867319,-0.399
58,91.29,-0.812759464,0.235
59,94.31,2.696006396,0.366
60,84.95,-0.747724264,0.202
61,82.97,5.106071492,0.344
62,92.98001,4.315096823,-0.038
63,81.06,-2.828620622,0.29
64,62.37,-6.512559174,-0.126
65,52.99,-1.658712863,-0.366
66,39.53,-2.464992891,-0.115
67,42.9,0.394458687,-0.301
68,33.76,-8.554481288,-0.486
69,40.97,3.796335714,-0.137
70,60.5,7.168099761,0.738
71,66.61,1.938278975,0.366
72,80.38,5.171034144,0.366
73,95.86,4.167294278,0.65
74,97.74,3.674838712,0.628
75,80.24,0.696076107,0.126
76,73.44,0.72618568,0.169
77,65.67,-0.426452982,0.137
78,47.81,-5.013868291,-0.257
79,33.51,-5.450080483,0.169
80,34.22,-0.816245259,-0.093
81,32.95,-1.515654849,0.475
82,32.55,-2.795593945,0.639
83,46.92,3.069194428,0.596
84,44.64,-1.776573544,0.749
85,53.02,4.08233372,0.191
86,41.98,-6.043340609,1
87,30.43,0.572862283,0.486
88,24.43,-1.967977247,0.41
89,18.05,1.331329492,0.158
90,20.98,-5.088803384,0.126
91,12.37,2.238936677,0.06
92,12.03,-1.271136781,0.246
93,12.41,-3.650950164,0.738
94,15.89,-2.415849183,0.803
95,20.46,-3.959902468,0.421
96,26.95,-2.200320668,0.617
97,30.29,-0.702023835,0.705
98,26.21,1.699954523,0.639
99,23.34,1.693593343,0.454
100,25.55,-2.53618859,0.311
101,25.4,1.72349304,0.355
102,24.16,1.403822415,-0.158
103,23.34,-0.57555682,-0.038
104,24.38,-0.679592469,0.115
105,27.2,-1.543357578,0.137
106,29.18,-0.999248212,0.257
107,43.3,0.247723466,0.115
108,53.92,1.133322974,0.038
109,59.76,1.859385572,0.082
110,64.52,0.459506572,0.148
111,65.84,2.229110801,0.06
112,70.19,2.056619107,-0.191
113,75.27,0.688409674,-0.607
114,77.63,1.138544141,-0.585
115,76.96,0.269161241,-0.268
116,77.7,0.858608472,-0.093
117,85.13,2.883534662,-0.093
118,99.33999,1.078702539,0.257
119,97.7,-11.24195226,-0.005
120,97.01999,2.21688679,0.224
121,98.83,5.237948674,0.169
122,99.8,2.739593226,0.432
123,96.74,4.899726519,0.202
124,93.54,-1.023297236,-0.366
125,82.08,-0.823456765,-0.661
126,71.51,-0.804812592,0.093
127,49.61,-9.460889861,-0.716
128,41.76,-0.445717394,0.148
129,59.78,8.078565089,-0.093
130,90.97,14.66496992,0.279
131,85.26,-5.411084994,0.432
132,100,4.715219129,-0.104
133,98.5,10.02968332,0.607
134,98.7,6.000000914,0.18
135,93.1,-0.690507179,0.071
136,79.37,0.045958818,0.246
137,81.97,3.223803313,-0.432
138,55.94,-10.77686575,0.06
139,50.39,1.87679141,-0.388
140,48.64,-4.357012645,0.202
141,40.12,-2.210005053,-0.104
