Age;Gender;Total;Total_per_gender;Age_group;Male;Female;Total_pop
0 to 04;Male;-69760;69760;0 to 04;69760;67784;137544
05 to 09;Male;-61340;61340;05 to 09;61340;59944;121284
10 to 14;Male;-58367;58367;10 to 14;58367;58893;117260
15 to 19;Male;-53228;53228;15 to 19;53228;54749;107977
20 to 24;Male;-50562;50562;20 to 24;50562;54800;105362
25 to 29;Male;-44303;44303;25 to 29;44303;49886;94189
30 to 34;Male;-36576;36576;30 to 34;36576;40011;76587
35 to 39;Male;-31186;31186;35 to 39;31186;33351;64537
40 to 44;Male;-25555;25555;40 to 44;25555;27062;52617
45 to 49;Male;-20241;20241;45 to 49;20241;22072;42313
50 to 54;Male;-17341;17341;50 to 54;17341;19683;37024
55 to 59;Male;-11761;11761;55 to 59;11761;12208;23969
60 to 64;Male;-9650;9650;60 to 64;9650;10689;20339
65 to 69;Male;-6062;6062;65 to 69;6062;6965;13027
70 to 74;Male;-5765;5765;70 to 74;5765;7960;13725
75 to 79;Male;-3449;3449;75 to 79;3449;4631;8080
80 to 84;Male;-2297;2297;80 to 84;2297;3984;6281
85 to 89;Male;-1326;1326;85 to 89;1326;2250;3576
90+;Male;-969;969;90+;969;1915;2884
0 to 04;Female;67784;67784;;;;
05 to 09;Female;59944;59944;;;;
10 to 14;Female;58893;58893;;;;
15 to 19;Female;54749;54749;;;;
20 to 24;Female;54800;54800;;;;
25 to 29;Female;49886;49886;;;;
30 to 34;Female;40011;40011;;;;
35 to 39;Female;33351;33351;;;;
40 to 44;Female;27062;27062;;;;
45 to 49;Female;22072;22072;;;;
50 to 54;Female;19683;19683;;;;
55 to 59;Female;12208;12208;;;;
60 to 64;Female;10689;10689;;;;
65 to 69;Female;6965;6965;;;;
70 to 74;Female;7960;7960;;;;
75 to 79;Female;4631;4631;;;;
80 to 84;Female;3984;3984;;;;
85 to 89;Female;2250;2250;;;;
90+;Female;1915;1915;;;;
