"city","continent","region","labour","rel.wage","rice","vacation","bread","Asia","ENO"
"AbuDhabi","Asia",2,3.61,3.83,2.94,3.37,2.71,1,0
"Amsterdam","Europe",3,2.77,4.08,2.30,3.43,2.30,0,1
"Athens","Europe",3,3.00,3.51,3.09,3.17,2.30,0,1
"Auckland","Oceania",3,2.71,3.82,1.95,3.00,2.20,0,1
"Bangkok","Asia",2,3.76,2.59,2.64,2.48,3.14,1,0
"Barcelona","Europe",3,3.00,3.75,2.20,3.43,2.20,0,1
"Berlin","Europe",3,2.83,4.07,2.40,3.44,2.30,0,1
"Bogota","SAmerica",1,4.04,2.75,2.71,2.83,3.37,0,0
"Brussels","Europe",3,3.04,3.98,2.83,3.22,2.56,0,1
"Budapest","Europe",3,4.41,1.84,3.74,3.17,3.22,0,1
"BuenosAires","SAmerica",1,3.37,3.58,3.09,2.94,3.14,0,0
"Caracas","SAmerica",1,4.53,2.94,2.94,2.75,4.13,0,0
"Chicago","NAmerica",3,2.56,4.53,2.08,2.35,2.20,0,1
"Copenhagen","Europe",3,2.94,4.24,2.40,3.23,2.48,0,1
"Dublin","Europe",3,2.77,4.10,2.89,3.21,2.08,0,1
"Frankfurt","Europe",3,2.77,4.12,2.89,3.43,2.20,0,1
"Geneva","Europe",3,2.77,4.50,2.40,3.19,2.20,0,1
"Helsinki","Europe",3,3.22,3.94,3.26,3.32,3.33,0,1
"HongKong","Asia",2,2.20,4.05,1.95,2.62,2.71,1,0
"Houston","NAmerica",3,2.56,4.49,2.08,2.49,2.71,0,1
"Istanbul","Europe",3,3.95,2.93,3.43,2.73,2.56,0,1
"Jakarta","Asia",2,4.98,1.59,3.33,2.40,4.44,1,0
"Johannesburg","Africa",1,2.94,3.35,2.20,2.94,2.40,0,0
"KualaLumpur","Asia",2,3.09,3.12,3.22,2.91,3.00,1,0
"Lisbon","Europe",3,3.47,3.37,2.56,3.09,2.71,0,1
"London","Europe",3,2.89,4.20,2.08,3.10,1.79,0,1
"LosAngeles","NAmerica",3,2.40,4.47,2.08,2.51,2.89,0,1
"Luxembourg","Europe",3,2.71,4.34,2.64,3.39,2.40,0,1
"Madrid","Europe",3,3.04,3.73,2.20,3.44,2.20,0,1
"Bahrain","Asia",2,3.30,3.53,3.26,3.18,3.37,1,0
"Manila","Asia",2,4.32,2.00,3.83,2.96,3.95,1,0
"MexicoCity","NAmerica",3,4.19,2.56,3.22,2.65,3.89,0,1
"Milan","Europe",3,3.04,3.74,3.09,3.13,3.09,0,1
"Montreal","NAmerica",3,2.64,4.19,2.20,2.94,2.48,0,1
"Moscow","Europe",3,4.30,1.77,5.02,3.06,3.22,0,1
"Bombay","Asia",2,4.65,1.74,4.37,3.19,3.53,1,0
"Nairobi","Africa",1,5.18,1.36,4.69,3.33,4.16,0,0
"NewYork","NAmerica",3,2.48,4.58,2.20,2.59,2.71,0,1
"Nicosia","Asia",2,3.30,3.81,2.83,2.86,2.30,1,0
"Oslo","Europe",3,3.04,4.22,2.71,3.08,2.64,0,1
"Panama","NAmerica",3,3.71,3.01,2.71,3.31,3.47,0,1
"Paris","Europe",3,2.94,4.06,3.00,3.34,2.83,0,1
"RioDeJaneiro","SAmerica",1,3.81,3.00,2.56,3.26,3.95,0,0
"SantiagoDeChile","SAmerica",1,4.13,3.02,3.22,2.83,2.94,0,0
"SaoPaulo","SAmerica",1,3.58,3.05,2.40,3.28,3.30,0,0
"Seoul","Asia",2,3.22,3.79,3.09,3.09,3.22,1,0
"Shanghai","Asia",2,4.01,2.17,3.85,2.77,4.63,1,0
"Singapore","Asia",2,3.09,3.57,2.64,2.92,3.43,1,0
"Stockholm","Europe",3,2.94,4.09,3.14,3.33,2.89,0,1
"Sydney","Oceania",3,2.56,3.97,1.95,3.06,2.56,0,1
"Taipei","Asia",2,3.00,3.85,2.48,2.48,3.09,1,0
"TelAviv","Asia",2,3.74,3.82,2.56,2.81,2.77,1,0
"Tokyo","Asia",2,2.20,4.79,2.71,3.02,2.64,1,0
"Toronto","NAmerica",3,2.56,4.11,2.40,2.46,2.30,0,1
"Vienna","Europe",3,2.77,4.11,2.40,3.31,2.56,0,1
"Warsaw","Europe",3,3.99,2.22,3.14,3.30,3.04,0,1
"Zurich","Europe",3,2.71,4.61,1.95,3.21,2.30,0,1
