ID,verbal ,mathematics,GPA
1,81,87,3.89
2,68,99,3.32
3,57,86,2.58
4,100,49,1.57
5,54,83,2.73
6,82,86,3.96
7,75,74,3.67
8,58,98,2.69
9,55,54,1.68
10,49,81,2.20
11,64,76,3.31
12,66,59,2.85
13,80,61,3.30
14,100,85,3.73
15,83,76,3.78
16,64,66,3.10
17,83,72,3.75
18,93,54,2.71
19,74,59,2.75
20,51,75,2.58
21,79,75,3.77
22,81,62,3.19
23,50,69,2.66
24,72,70,3.40
25,54,52,1.96
26,65,79,3.04
27,56,78,2.88
28,98,67,2.63
29,97,80,4.00
30,77,90,3.97
31,49,54,2.01
32,39,81,1.19
33,87,69,3.50
34,70,95,3.26
35,57,89,2.52
36,74,67,3.01
37,87,93,3.99
38,90,65,3.19
39,81,76,3.82
40,84,69,3.69
