country ,public         ,uncons ,fmcn50_ceo,roce  ,sic2      ,sales,tanfixassts,materials,age   ,hours,employment  
fr,0,1,0,23,37,17667,578,12493,73,35,204
fr,0,1,0,25,32,125719,12625,13318,36,35.08,1193
fr,1,0,0,0,35,157768,9930,49978,30,36.75,1083
fr,0,1,0,20,33,53634,9291,21925,31,36.44,451
fr,0,1,0,10,28,81993,81040,33984,32,35,598
fr,0,1,1,13,22,38243,5416,34597,144,35,187
fr,0,1,0,5,22,27505,1827,17267,86,35,244
fr,0,1,0,-25,35,307853,13629,200933,47,36.08,1451
fr,0,1,0,19,37,96997,7785,72401,27,35,430
fr,0,1,0,33,25,18934,1288,1254,27,35,190
fr,0,1,0,17,28,40861,2857,27567,26,35.39,193
fr,0,1,1,-6,22,33337,1985,8090,27,.,611
fr,0,1,0,29,20,94858,15738,51641,26,.,775
fr,0,1,0,23,23,19686,2404,10364,27,35,195
fr,1,0,0,24,26,40201,12259,8964,25,35,306
fr,0,1,0,15,38,864857,29200,492291,25,.,1640
fr,0,1,0,22,30,39645,1865,24095,24,35.99,587
fr,0,1,0,8,33,66354,5301,50029,25,35,167
fr,0,1,0,9,36,23363,1169,11724,25,37.09,235
fr,0,1,0,32,34,30187,3548,13004,24,.,193
fr,0,1,1,33,35,16895,.,4854,24,.,208
fr,0,1,0,2,35,238871,11843,6922,22,35.19,893
fr,0,1,0,45,34,19541,626,6972,37,38,152
fr,1,0,0,17,33,15240,3588,1866,20,36.02,138
fr,1,0,0,8,34,47412,10688,24286,20,35,531
fr,0,1,0,47,35,24067,695,1445,19,38.18,158
fr,0,1,0,2,33,288148,28664,178648,20,.,562
fr,1,0,0,31,35,256914,15063,120643,19,.,568
fr,0,0,0,9,36,76389,6357,24937,19,35,310
fr,0,1,1,12,20,20734,5030,8750,74,35.7,124
fr,0,1,0,17,35,27089,.,17576,18,35,136
fr,0,0,0,15,35,119164,26968,51214,18,.,380
fr,0,1,0,17,20,12335,1806,7363,18,.,97
fr,1,0,0,18,36,65048,15699,27108,18,.,1337
fr,0,1,0,4,35,27566,2716,18813,16,35,122
fr,0,1,0,10,20,219826,17882,83554,16,35.61,623
fr,0,1,0,23,36,52549,1398,27889,15,35.89,437
fr,0,1,0,0,24,11416,1333,5403,15,.,162
fr,0,1,0,7,35,36899,4262,16976,15,.,210
fr,0,1,0,1,35,44743,4219,13227,16,35,294
fr,0,1,0,25,20,65589,9035,12796,14,35,542
fr,0,1,0,26,28,137349,7822,96471,15,38,676
fr,0,1,1,18,33,21139,3889,5594,86,35,215
fr,0,1,1,9,20,15049,526,7514,39,40.24,182
fr,0,1,1,34,36,26078,1452,14700,38,35,133
fr,0,1,0,32,36,31848,1239,20481,14,37.5,387
fr,0,1,0,6,22,17562,1564,7037,13,35,210
fr,0,1,0,8,23,14398,1548,5933,13,35,240
fr,1,0,0,22,35,33333,1779,22712,13,35,259
fr,0,1,0,-22,38,25612,.,3821,13,35,197
fr,0,1,0,50,30,15621,807,10299,12,35,129
fr,0,1,0,42,34,13825,327,3776,12,35,106
