idnumber,salary,educ,salbegin,gender,minority,jobcat,male,logsal
134,30000,16,24990,0,0,managerial,0,10.30895
361,28800,12,13950,0,0,clerical,0,10.26813
227,33900,12,12000,0,0,clerical,0,10.43117
392,21600,12,12000,0,0,clerical,0,9.980449
324,29160,12,15000,0,0,clerical,0,10.28055
332,33000,16,18000,0,0,clerical,0,10.40426
224,16200,12,10200,0,0,clerical,0,9.692766
263,28500,12,11250,0,0,clerical,0,10.25766
349,29100,17,12750,0,0,clerical,0,10.27849
346,22950,15,13950,0,0,clerical,0,10.04107
333,37050,15,18000,0,0,clerical,0,10.52002
223,22350,8,10200,0,0,clerical,0,10.01458
469,25200,15,13950,0,0,clerical,0,10.1346
72,54000,16,18000,0,0,clerical,0,10.89674
142,28500,12,13950,0,0,clerical,0,10.25766
399,20400,12,11250,0,0,clerical,0,9.92329
439,20400,12,11250,0,0,clerical,0,9.92329
384,19000,12,9500,0,1,clerical,0,9.852194
250,24000,15,12750,0,0,clerical,0,10.08581
394,29100,8,12450,0,0,clerical,0,10.27849
92,24000,8,10950,0,0,clerical,0,10.08581
266,34500,16,17250,0,0,clerical,0,10.44871
84,18500,8,10950,0,1,clerical,0,9.825526
81,24300,12,10950,0,0,clerical,0,10.09823
391,24450,12,12450,0,0,clerical,0,10.10439
226,23250,16,15750,0,0,clerical,0,10.05406
117,31500,12,18750,0,0,clerical,0,10.35774
157,26550,12,13050,0,1,clerical,0,10.18678
298,24600,12,13500,0,0,clerical,0,10.1105
14,17000,15,15000,0,1,clerical,0,9.740969
228,25650,15,14250,0,0,clerical,0,10.1523
348,56750,16,30000,0,0,managerial,0,10.94641
107,25200,12,14400,0,0,clerical,0,10.1346
189,36000,12,19980,0,0,clerical,0,10.49127
424,31350,15,11100,0,0,clerical,0,10.35297
352,21150,8,12000,0,0,clerical,0,9.959395
159,19000,16,10000,0,1,clerical,0,9.852194
242,40800,12,18000,0,0,clerical,0,10.61644
241,17400,8,10200,0,0,clerical,0,9.764226
123,33300,12,15000,0,0,clerical,0,10.41331
398,30600,12,12450,0,0,clerical,0,10.32876
236,27450,8,12000,0,0,clerical,0,10.22012
371,22000,16,18000,0,0,managerial,0,9.998797
396,20850,12,11250,0,0,clerical,0,9.945109
315,34500,12,12150,0,0,clerical,0,10.44871
297,23400,12,15300,0,0,clerical,0,10.06049
362,16950,8,10200,0,0,clerical,0,9.738023
245,21000,12,11550,0,0,clerical,0,9.952278
379,19650,8,13050,0,0,clerical,0,9.885833
25,17000,15,9000,0,1,clerical,0,9.740969
194,15000,15,7200,0,1,clerical,0,9.615806
225,21900,15,12750,0,0,clerical,0,9.994242
463,20700,15,14250,0,0,clerical,0,9.937889
397,22950,12,12300,0,0,clerical,0,10.04107
323,25500,15,12000,0,0,clerical,0,10.14643
459,21750,12,11250,0,0,clerical,0,9.987369
24,16950,12,9000,0,1,clerical,0,9.738023
193,18000,12,12000,0,1,clerical,0,9.798127
214,18009,12,10950,0,1,clerical,0,9.798627
412,22800,12,11250,0,0,clerical,0,10.03452
267,18150,12,10950,0,0,clerical,0,9.806426
441,23850,15,13500,0,0,clerical,0,10.07954
304,20000,15,11000,0,1,clerical,0,9.903487
208,24000,12,11250,0,0,clerical,0,10.08581
358,23550,15,13500,0,0,clerical,0,10.06688
188,34500,12,18750,0,0,clerical,0,10.44871
280,24750,12,10950,0,0,clerical,0,10.11658
338,15900,8,10200,0,0,clerical,0,9.674074
334,19000,12,10950,0,1,clerical,0,9.852194
473,21450,12,12750,0,0,clerical,0,9.97348
347,23100,12,12000,0,0,clerical,0,10.04759
83,17000,12,9000,0,1,clerical,0,9.740969
177,28500,12,16500,0,0,clerical,0,10.25766
339,23700,8,10650,0,0,clerical,0,10.07323
248,22050,12,10950,0,0,clerical,0,10.00107
423,22200,12,13800,0,0,clerical,0,10.00785
139,20100,8,13200,0,0,clerical,0,9.908475
128,19650,12,9750,0,1,clerical,0,9.885833
144,16650,8,9750,0,0,clerical,0,9.720165
238,27300,12,11250,0,0,clerical,0,10.21464
357,17700,8,10200,0,0,clerical,0,9.78132
390,24150,15,13500,0,0,clerical,0,10.09204
443,21600,8,13500,0,0,clerical,0,9.980449
