"","idnumber","salary","educ","salbegin","gender","minority","jobcat","male","logsal"
"1",134,30000,16,24990,0,0,3,0,10.30895
"2",361,28800,12,13950,0,0,1,0,10.26813
"3",227,33900,12,12000,0,0,1,0,10.43117
"4",392,21600,12,12000,0,0,1,0,9.980449
"5",324,29160,12,15000,0,0,1,0,10.28055
"6",332,33000,16,18000,0,0,1,0,10.40426
"7",224,16200,12,10200,0,0,1,0,9.692766
"8",263,28500,12,11250,0,0,1,0,10.25766
"9",349,29100,17,12750,0,0,1,0,10.27849
"10",346,22950,15,13950,0,0,1,0,10.04107
"11",333,37050,15,18000,0,0,1,0,10.52002
"12",223,22350,8,10200,0,0,1,0,10.01458
"13",469,25200,15,13950,0,0,1,0,10.1346
"14",72,54000,16,18000,0,0,1,0,10.89674
"15",142,28500,12,13950,0,0,1,0,10.25766
"16",399,20400,12,11250,0,0,1,0,9.92329
"17",439,20400,12,11250,0,0,1,0,9.92329
"18",384,19000,12,9500,0,1,1,0,9.852194
"19",250,24000,15,12750,0,0,1,0,10.08581
"20",394,29100,8,12450,0,0,1,0,10.27849
"21",92,24000,8,10950,0,0,1,0,10.08581
"22",266,34500,16,17250,0,0,1,0,10.44871
"23",84,18500,8,10950,0,1,1,0,9.825526
"24",81,24300,12,10950,0,0,1,0,10.09823
"25",391,24450,12,12450,0,0,1,0,10.10439
"26",226,23250,16,15750,0,0,1,0,10.05406
"27",117,31500,12,18750,0,0,1,0,10.35774
"28",157,26550,12,13050,0,1,1,0,10.18678
"29",298,24600,12,13500,0,0,1,0,10.1105
"30",14,17000,15,15000,0,1,1,0,9.740969
"31",228,25650,15,14250,0,0,1,0,10.1523
"32",348,56750,16,30000,0,0,3,0,10.94641
"33",107,25200,12,14400,0,0,1,0,10.1346
"34",189,36000,12,19980,0,0,1,0,10.49127
"35",424,31350,15,11100,0,0,1,0,10.35297
"36",352,21150,8,12000,0,0,1,0,9.959395
"37",159,19000,16,10000,0,1,1,0,9.852194
"38",242,40800,12,18000,0,0,1,0,10.61644
"39",241,17400,8,10200,0,0,1,0,9.764226
"40",123,33300,12,15000,0,0,1,0,10.41331
"41",398,30600,12,12450,0,0,1,0,10.32876
"42",236,27450,8,12000,0,0,1,0,10.22012
"43",371,22000,16,18000,0,0,3,0,9.998797
"44",396,20850,12,11250,0,0,1,0,9.945109
"45",315,34500,12,12150,0,0,1,0,10.44871
"46",297,23400,12,15300,0,0,1,0,10.06049
"47",362,16950,8,10200,0,0,1,0,9.738023
"48",245,21000,12,11550,0,0,1,0,9.952278
"49",379,19650,8,13050,0,0,1,0,9.885833
"50",25,17000,15,9000,0,1,1,0,9.740969
"51",194,15000,15,7200,0,1,1,0,9.615806
"52",225,21900,15,12750,0,0,1,0,9.994242
"53",463,20700,15,14250,0,0,1,0,9.937889
"54",397,22950,12,12300,0,0,1,0,10.04107
"55",323,25500,15,12000,0,0,1,0,10.14643
"56",459,21750,12,11250,0,0,1,0,9.987369
"57",24,16950,12,9000,0,1,1,0,9.738023
"58",193,18000,12,12000,0,1,1,0,9.798127
"59",214,18009,12,10950,0,1,1,0,9.798627
"60",412,22800,12,11250,0,0,1,0,10.03452
"61",267,18150,12,10950,0,0,1,0,9.806426
"62",441,23850,15,13500,0,0,1,0,10.07954
"63",304,20000,15,11000,0,1,1,0,9.903487
"64",208,24000,12,11250,0,0,1,0,10.08581
"65",358,23550,15,13500,0,0,1,0,10.06688
"66",188,34500,12,18750,0,0,1,0,10.44871
"67",280,24750,12,10950,0,0,1,0,10.11658
"68",338,15900,8,10200,0,0,1,0,9.674074
"69",334,19000,12,10950,0,1,1,0,9.852194
