comp_name,year,year_estab,dom,pub,rev,revproj,exrev,exproj,domrev,capital,iso9000,iso9001,iso9002,qcyear,seicmm,level,anyotherqc,product,distr,services,projects,alliances,jv,us,uk,canada,europe,asia,australia,india,africa,middleeast,latinamer,eduntrain,ent,engineering,defence,health,telecomm,transport,port,textiles,publishing,travel,financial,manuf,egov,leasehire,web,libmgmt,airrailway,ecom,edesign,officeauto,oilpetro,softemp,othemp,projnserv,lang_os_ser,ites,rdbms,net_sysinter,multimedia,contentdev,itedu,webnecom,proddev,con,nochange,div,relateddiv,unreldiv,totaos,conglomorate
24/7 Customer.com,2001,2000,1,0,50.04,,50,,0.04,10.88,0,1,1,1994,0,,0,0,1,3,0,,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0,1,0,1,0,0,0,0,0,1,0,,,,,,3,0
24/7 Customer.com,2002,2000,1,0,50,200,50,200,0,10.88,0,1,1,1994,0,,1,0,0,3,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30,270,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,3,0
24/7 Customer.com,2003,2000,1,0,137,800,137,800,0,10.88,1,0,1,2000,0,,1,,,,5,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,800,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0
3com India Pvt. Ltd.,2001,1995,1,0,,,,,,,1,0,0,,0,,0,0,0,0,0,,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,15,0,1,1,1,0,1,0,0,0,1,0,,,,,,5,0
A.B. Infosys Private Limited,1997,1995,1,0,0.018,,0.018,,0,2.5,0,0,0,,0,,0,0,,0,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,10,4,1,1,0,0,0,0,0,0,1,1,,,,,,4,0
A.B. Infosys Private Limited,1998,1995,1,0,0.018,,0.018,,0,2.5,0,0,0,,0,,0,3,0,0,3,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,10,4,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0
A.P. Technology,1994,1986,1,1,2.42,,0.88,,1.54,,0,0,0,,0,,0,2,,,7,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,50,20,1,1,0,1,0,0,1,0,0,1,,,,,,5,0
A.P. Technology,1995,1986,1,1,,,,,,,0,0,0,,0,,0,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,7,0
ABM Knowledgeware Ltd.,2003,1993,1,1,61,70,,1,,100,0,0,1,1994,0,,0,,,,4,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100,80,1,1,0,0,0,0,0,1,1,0,,,,,,4,0
ABO Software Private Limited,2001,1995,1,0,,,,,,2.5,0,0,0,,0,,0,3,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,2,1,1,0,0,0,0,0,0,1,1,,,,,,4,0
