ID,age,schooling,height,weight,earnings,siblings
6,41,16,65,200,27.11,1
18,44,13,66,155,113.96,2
21,40,16,62,138,38.46,2
39,43,12,72,180,28.84,4
49,44,14,69,150,19.23,6
73,38,18,70,175,57.69,2
85,43,11,64,139,8.75,7
87,39,12,68,170,8.5,7
91,38,16,67,136,26.44,2
140,43,17,70,160,27.43,1
146,38,12,68,165,18.8,3
192,39,16,61,110,33.33,1
197,39,12,62,108,8,3
198,39,18,70,155,34.02,1
210,39,16,70,165,17,2
213,39,16,72,155,19.68,3
235,39,15,68,178,33.65,3
244,45,12,62,155,7,4
248,41,12,72,160,8,4
249,39,17,65,140,6.5,4
253,37,11,66,175,9.65,2
269,43,16,69,135,86.53,0
276,40,12,64,108,10.75,1
277,42,12,70,135,10,2
281,40,18,75,195,36.85,3
290,42,10,64,149,7.8,11
293,43,13,64,131,10.09,2
369,43,16,65,125,15,1
382,43,13,60,115,13.7,5
392,42,12,70,215,19.23,3
393,39,13,72,190,25,3
412,37,14,72,188,15.62,2
417,41,12,72,170,19.23,1
437,45,12,64,151,9.25,5
439,41,16,65,125,25.1,2
445,37,16,74,185,20.97,1
449,42,12,62,125,12,4
455,43,20,65,118,27.77,2
480,44,18,70,205,22.11,2
485,40,12,63,102,11.18,2
487,41,14,67,128,19.72,4
491,42,12,65,240,30.55,3
520,44,16,71,185,17.62,7
527,44,13,63,120,17.94,2
530,45,9,66,131,6.1,1
533,42,14,59,129,10.46,3
562,40,20,69,163,17.34,1
613,39,12,69,145,21,1
619,44,12,62,107,15.14,5
622,38,15,64,128,15.38,2
630,38,8,73,160,11.11,2
638,41,13,65,120,26.74,1
644,44,20,72,175,54.48,2
653,42,18,69,155,29.01,0
659,43,14,74,165,21,5
682,39,12,68,140,9.5,12
703,40,12,68,145,11.14,5
718,43,12,67,185,13,2
721,39,13,62,103,8,4
730,41,15,72,180,36.05,3
744,42,14,66,142,12.45,2
774,42,14,66,123,13.5,4
776,41,17,69,147,59,2
796,41,16,67,180,27.88,2
797,40,12,73,240,25.9,2
803,39,12,68,124,18.18,3
810,42,16,60,105,36.24,4
819,40,14,64,145,20,1
825,44,17,70,175,29.05,2
834,42,12,62,167,9.37,8
843,40,12,61,105,8,3
847,43,16,68,155,35.71,8
861,39,12,62,140,12,4
874,38,18,68,150,23.07,4
