ID,FEMALE,MALE,ETHBLACK,ETHHISP,ETHWHITE,AGE,S,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCDO,SINGLE,MARRIED,DIVORCED,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,ASVAB01,ASVAB02,ASVAB03,ASVAB04,ASVAB05,ASVAB06,ASVABC,HEIGHT,WEIGHT85,WEIGHT02,SM,SF,SIBLINGS,LIBRARY,POV78,EXP,EARNINGS,HOURS,TENURE,COLLBARG,CATGOV,CATPRI,CATSE,URBAN,REGNE,REGNC,REGW,REGS
3195,0,1,0,0,1,42,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48,64,50,53,51,58,59.53675,65,160,182,12,12,2,1,0,22.55769,14.1,50,16.96154,1,0,1,0,1,1,0,0,0
4896,0,1,0,0,1,43,16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,66,66,54,59,61,62,63.35343,74,200,225,12,14,5,1,0,18.82692,32,40,18.82692,0,0,1,0,1,0,1,0,0
3860,0,1,0,0,1,41,19,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,62,66,60,59,61,65,64.98915,72,185,235,12,13,2,1,0,15.86539,23.38,40,15.15385,1,1,0,0,1,0,1,0,0
4923,0,1,0,0,1,39,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,46,40,38,32,41,37,37.45457,69,173,215,9,10,7,0,0,14.46154,16.27,40,7.038462,0,0,1,0,0,0,0,0,1
5382,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,54,50,57,62,41,47,56.26532,74,180,195,9,9,3,0,0,22.01923,19.23,40,2.923077,0,0,1,0,0,0,1,0,0
859,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,44,34,54,47,38,29,42.63434,69,190,200,12,12,4,1,0,21.53846,15,55,15.96154,0,0,1,0,1,0,1,0,0
11875,0,1,0,0,1,38,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,60,61,54,53,52,49,58.99152,70,185,234,12,12,2,0,0,20.5,17.34,40,8.903846,0,1,0,0,1,0,0,1,0
3186,0,1,0,0,1,42,16,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,50,62,56,53,55,52,60.082,70,160,174,16,16,2,1,1,16.84615,90.71,53,10.88461,0,0,1,0,1,1,0,0,0
2365,0,1,0,0,1,40,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,46,47,39,53,37,56,47.26888,73,193,260,12,12,3,1,0,22.75,15.5,40,7.557693,0,0,1,0,1,0,0,0,1
4998,0,1,0,0,1,39,20,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,60,59,52,59,57,50,58.99152,71,165,197,16,20,2,1,0,14.07692,21.67,55,4.461538,0,0,1,0,2,0,0,0,1
