price,volume,ecost,top,side,bottom,top_vol,top_ecost,side_vol,side_ecost,bot_vol,bot_ecost
980,71808,40,1,0,0,71808,40,0,0,0,0
820,63360,33,1,0,0,63360,33,0,0,0,0
850,71808,39,1,0,0,71808,39,0,0,0,0
800,60300,37,1,0,0,60300,37,0,0,0,0
900,64119,39,1,0,0,64119,39,0,0,0,0
870,63360,37,1,0,0,63360,37,0,0,0,0
750,64320,37,1,0,0,64320,37,0,0,0,0
650,62310,40,1,0,0,62310,40,0,0,0,0
600,60300,36,1,0,0,60300,36,0,0,0,0
830,63360,37,1,0,0,63360,37,0,0,0,0
850,64170,38,1,0,0,64170,38,0,0,0,0
530,62310,40,1,0,0,62310,40,0,0,0,0
750,71808,44,1,0,0,71808,44,0,0,0,0
800,67518,43,1,0,0,67518,43,0,0,0,0
1200,70752,40,1,0,0,70752,40,0,0,0,0
500,60300,40,1,0,0,60300,40,0,0,0,0
450,59024,40,1,0,0,59024,40,0,0,0,0
1400,80640,52,0,1,0,0,0,80640,52,0,0
1650,83160,49,0,1,0,0,0,83160,49,0,0
1000,80640,60,0,1,0,0,0,80640,60,0,0
1330,78120,54,0,1,0,0,0,78120,54,0,0
800,80640,61,0,1,0,0,0,80640,61,0,0
1500,69552,49,0,1,0,0,0,69552,49,0,0
1400,83160,53,0,1,0,0,0,83160,53,0,0
1150,79236,55,0,1,0,0,0,79236,55,0,0
1400,80640,55,0,1,0,0,0,80640,55,0,0
1350,72864,53,0,1,0,0,0,72864,53,0,0
950,76230,58,0,1,0,0,0,76230,58,0,0
1600,81792,56,0,1,0,0,0,81792,56,0,0
2000,71568,52,0,1,0,0,0,71568,52,0,0
2300,72576,54,0,1,0,0,0,72576,54,0,0
975,69632,55,0,1,0,0,0,69632,55,0,0
1330,116580,90,0,1,0,0,0,116580,90,0,0
1250,71610,44,0,0,1,0,0,0,0,71610,44
1800,81792,45,0,0,1,0,0,0,0,81792,45
1000,71610,44,0,0,1,0,0,0,0,71610,44
1200,71610,44,0,0,1,0,0,0,0,71610,44
950,62310,42,0,0,1,0,0,0,0,62310,42
1050,62310,42,0,0,1,0,0,0,0,62310,42
1900,68040,43,0,0,1,0,0,0,0,68040,43
750,66990,46,0,0,1,0,0,0,0,66990,46
