"price","volume","ecost","freezer"
980,71808,40,2
820,63360,33,2
850,71808,39,2
800,60300,37,2
900,64119,39,2
870,63360,37,2
750,64320,37,2
650,62310,40,2
600,60300,36,2
830,63360,37,2
850,64170,38,2
530,62310,40,2
750,71808,44,2
800,67518,43,2
1200,70752,40,2
500,60300,40,2
450,59024,40,2
1400,80640,52,3
1650,83160,49,3
1000,80640,60,3
1330,78120,54,3
800,80640,61,3
1500,69552,49,3
1400,83160,53,3
1150,79236,55,3
1400,80640,55,3
1350,72864,53,3
950,76230,58,3
1600,81792,56,3
2000,71568,52,3
2300,72576,54,3
975,69632,55,3
1330,116580,90,3
1250,71610,44,1
1800,81792,45,1
1000,71610,44,1
1200,71610,44,1
950,62310,42,1
1050,62310,42,1
1900,68040,43,1
750,66990,46,1
