Quartile,gasoline,gdp,price,resid,year,quartile
1986Q1,1,1,1,0.168262866,1986,1
1986Q2,0.941151906,1.011535836,0.941732138,0.059129121,1986,2
1986Q3,0.974844291,1.030165325,0.816184057,-0.009218246,1986,3
1986Q4,1.016141248,1.055537035,0.754750666,-0.034323742,1986,4
1987Q1,1.033927351,1.104413642,0.732591451,-0.080742734,1987,1
1987Q2,1.050332989,1.106641037,0.794511062,-0.025578906,1987,2
1987Q3,1.050470399,1.1095121,0.800744364,-0.024221855,1987,3
1987Q4,1.032099543,1.103776812,0.793095301,-0.041847809,1987,4
1988Q1,1.066588027,1.101537949,0.783942615,-0.011153363,1988,1
1988Q2,1.134423092,1.107601815,0.752716447,0.029853104,1988,2
1988Q3,1.102723972,1.103701764,0.714661111,-0.023101725,1988,3
1988Q4,1.126869124,1.110593622,0.645241354,-0.051923411,1988,4
1989Q1,1.170272886,1.111217871,0.657234395,-0.001208077,1989,1
1989Q2,1.185721205,1.127652479,0.642146472,-0.012407202,1989,2
1989Q3,1.119001017,1.111193912,0.691903446,-0.029491073,1989,3
1989Q4,1.19870365,1.12242655,0.63847771,0.003440539,1989,4
1990Q1,1.168851128,1.113220717,0.686586683,0.014783469,1990,1
1990Q2,1.181372054,1.083839184,0.688133728,0.058101627,1990,2
1990Q3,1.236735068,1.131917321,0.684757505,0.062510394,1990,3
1990Q4,1.15245036,1.152168743,0.811464804,0.041635045,1990,4
1991Q1,1.134756936,1.139176827,0.740245942,-0.010068591,1991,1
1991Q2,1.168574763,1.139986459,0.694387553,-0.007447522,1991,2
1991Q3,1.231892771,1.169678094,0.628427715,-0.017907666,1991,3
1991Q4,1.233043466,1.194775153,0.600537016,-0.060662618,1991,4
1992Q1,1.305788992,1.233245654,0.56638863,-0.049519182,1992,1
1992Q2,1.291694718,1.24364629,0.554431132,-0.082073064,1992,2
1992Q3,1.327225144,1.276416553,0.551522935,-0.08167531,1992,3
1992Q4,1.364318357,1.26629101,0.523892183,-0.052624289,1992,4
1993Q1,1.413661402,1.286145226,0.478490701,-0.053473337,1993,1
1993Q2,1.44338163,1.256687566,0.446612092,-0.015019713,1993,2
1993Q3,1.474374939,1.306705806,0.467553563,-0.020838656,1993,3
1993Q4,1.468190253,1.301246142,0.467541459,-0.021499051,1993,4
1994Q1,1.555648039,1.31893269,0.450428528,0.036701339,1994,1
1994Q2,1.593518409,1.393483743,0.437794264,-0.009340174,1994,2
1994Q3,1.619082642,1.407956328,0.460816159,0.016808486,1994,3
1994Q4,1.644127664,1.393939021,0.435468605,0.039267241,1994,4
1995Q1,1.639222815,1.351608186,0.430447088,0.073930246,1995,1
1995Q2,1.618944235,1.398914969,0.440937162,0.012663998,1995,2
1995Q3,1.553265849,1.32880731,0.445914837,0.021323294,1995,3
1995Q4,1.640809464,1.364243555,0.434266833,0.065243581,1995,4
1996Q1,1.676963388,1.394716838,0.431972233,0.06899882,1996,1
1996Q2,1.680013624,1.404464097,0.446090474,0.07152395,1996,2
1996Q3,1.722643808,1.465071965,0.452839602,0.057210417,1996,3
1996Q4,1.693867899,1.47564693,0.459077578,0.021850837,1996,4
1997Q1,1.630612683,1.449250823,0.472218084,-0.005952849,1997,1
1997Q2,1.691674117,1.531972751,0.453170749,-0.041330877,1997,2
1997Q3,1.722064028,1.509699975,0.457431324,0.014450349,1997,3
1997Q4,1.737688303,1.530136949,0.456227061,0.008568022,1997,4
1998Q1,1.748195153,1.548718796,0.448858082,-0.004635393,1998,1
1998Q2,1.792100282,1.558613044,0.441071395,0.024085977,1998,2
1998Q3,1.801381596,1.596922603,0.428797986,-0.013581848,1998,3
1998Q4,1.807629957,1.597400369,0.421841164,-0.012425772,1998,4
1999Q1,1.778821063,1.552153733,0.417605672,0.001808445,1999,1
1999Q2,1.726586485,1.550050533,0.412672038,-0.051562962,1999,2
1999Q3,1.808728552,1.504527936,0.430768972,0.088694729,1999,3
1999Q4,1.812171825,1.511706775,0.441445057,0.091935425,1999,4
2000Q1,1.727960942,1.564246682,0.493295415,-0.011169048,2000,1
2000Q2,1.710713382,1.502403388,0.516181703,0.049409316,2000,2
2000Q3,1.611383404,1.489538053,0.55624883,-0.010343892,2000,3
2000Q4,1.547554434,1.496545465,0.584043875,-0.062862222,2000,4
2001Q1,1.493062644,1.5468458,0.595162883,-0.160958461,2001,1
