obs,housing,total,dhousing,dtotal
2,60.32,835.94,,
3,59.8,876.04,-0.5200005,40.09998
4,78,951.47,18.2,75.42999
6,60,473,-18,-478.47
7,60,601,0,128
8,80,683,20,82
10,40,832.3,-40,149.3
14,26,958.88,-14,126.58
15,26,1129.54,0,170.66
16,25,1213.76,-1,84.21997
18,52,539.64,27,-674.12
19,52,457.6,0,-82.04001
20,52,562.64,0,105.04
26,50,636,-2,73.35999
27,80,759.4,30,123.4
28,90,1078.84,10,319.4399
30,70,499.75,-20,-579.09
31,100,1020.02,30,520.27
32,200,1595.16,100,575.14
34,91,876.6,-109,-718.5601
35,75,1230.92,-16,354.3201
36,110,1807.96,35,577.0399
38,407.44,415.44,297.44,-1392.52
40,450.52,541.2,43.07999,125.76
42,26,581.36,-424.52,40.15997
43,52,743.08,26,161.72
44,71.76,1057.68,19.76,314.6
46,40.04,420.16,-31.72,-637.52
47,52,541.32,11.96,121.16
50,65.52,639.08,13.52,97.76001
51,65.52,750.88,0,111.8
54,65,829.4,-0.5199966,78.52002
55,75.92,984.36,10.92,154.96
56,111.8,1311.44,35.88,327.08
58,260,1492.4,148.2,180.9601
60,52,505.44,-208,-986.96
61,62.4,621.91,10.4,116.47
62,91,801.32,28.6,179.41
64,24.44,555.88,-66.56,-245.44
65,34.32,713.44,9.879999,157.56
66,44.2,838.76,9.880001,125.32
68,15.08,535.08,-29.12,-303.68
72,39,487.76,23.92,-47.32001
73,53.04,692.64,14.04,204.88
74,78,997.88,24.96,305.24
76,52,507,-26,-490.88
77,49.4,654.16,-2.599998,147.16
78,67.6,933.92,18.2,279.76
80,27.04,433.68,-40.56,-500.24
81,43.66,587.6,16.62,153.92
82,160.16,896.48,116.5,308.88
84,19.76,454.48,-140.4,-442
85,22.36,585,2.6,130.52
88,36,502.44,13.64,-82.56
89,45,713.52,9,211.08
90,69,906,24,192.48
92,20,517.8,-49,-388.2
93,60,695.8,40,178
94,108,1532.31,48,836.5101
95,82.15,1056.08,-25.85,-476.2301
97,60,387.32,-22.15,-668.7599
98,60,387.32,0,0
99,60,411,0,23.67999
100,60,832.76,0,421.76
101,52,615,-8,-217.76
103,78,887.47,26,272.47
104,104,1027.32,26,139.85
107,50,726,-54,-301.3199
108,36.4,494.42,-13.6,-231.58
109,52,750.64,15.6,256.22
110,65,987.64,13,237
111,66.8,788.1,1.800003,-199.54
112,60,831.8,-6.800003,43.70001
114,20.8,507.52,-39.2,-324.28
115,26,576.2,5.200001,68.68002
116,39,696.6,13,120.4
118,40,650.82,1,-45.77997
120,66.78,949.58,26.78,298.76
122,68.65,497.12,1.870003,-452.46
123,72.65,570.17,4,73.04999
124,97.9,724.73,25.25,154.56
126,26.07,408.34,-71.83,-316.39
127,52.14,638.67,26.07,230.33
128,100,1225.73,47.86,587.06
130,63.49,715.37,-36.51,-510.36
134,110,1647.56,46.51,932.1901
136,42.12,608.5,-67.88,-1039.06
139,78,880.6,35.88,272.1
140,104,796.33,26,-84.26996
141,100,854.38,-4,58.04999
143,105,1167.37,5,312.99
147,72.8,650.78,-32.2,-516.59
149,30,377.06,-42.8,-273.72
151,60,1121.1,30,744.04
153,25,625.52,-35,-495.58
154,25,805.54,0,180.02
156,55,558.58,30,-246.96
158,66.25,784.4,11.25,225.82
159,87.98,1284,21.73,499.6
160,296.8,2051.1,208.82,767.1001
162,90,1466.34,-206.8,-584.7601
164,66,730,-24,-736.34
165,60,800.8,-6,70.79999
166,100,1245.7,40,444.9
168,20,1201,-80,-44.69995
170,60,634.4,40,-566.6
171,100,956.23,40,321.83
172,60,1148.6,-40,192.37
174,80,1778.82,20,630.22
175,80,2822.54,0,1043.72
177,60,922.36,-20,-1900.18
179,78,2303.6,18,1381.24
181,24,420,-54,-1883.6
182,10,562,-14,142
183,24,689.6,14,127.6
187,35,820.82,11,131.22
188,40,875.17,5,54.34998
191,86.66,1256.32,46.66,381.15
192,117.4,1365.48,30.74,109.16
193,168,2020,50.6,654.52
194,96,1209.48,-72,-810.52
195,96,1135.04,0,-74.43994
196,200,1827.41,104,692.37
197,96,1024.16,-104,-803.25
198,120,892.4,24,-131.76
199,180,2432.4,60,1540
200,60,1177.86,-120,-1254.54
201,59.67,1222.6,-0.3300018,44.73999
203,65,1519.58,5.330002,296.98
205,45,687.66,-20,-831.92
207,70,953.12,25,265.46
208,70,953.12,0,0
209,70,953.12,0,0
215,110,1342.52,40,389.4
217,47.84,647.47,-62.16,-695.05
218,83.2,866.98,35.36,219.51
219,120,1167.2,36.8,300.22
220,144,1097.08,24,-70.12
221,66,530.3,-78,-566.78
222,72,1142.16,6,611.86
223,120,1098,48,-44.16003
224,48,498.7,-72,-599.3
226,7.25,1687,-40.75,1188.3
227,48,678.7,40.75,-1008.3
229,30,671.88,-18,-6.820007
230,50,690.47,20,18.58997
231,50,860.7,0,170.23
234,60,1048.65,10,187.95
235,60,926.88,0,-121.77
236,30,839.04,-30,-87.84003
242,40,698.83,10,-140.21
243,50,920.42,10,221.59
246,60,891.68,10,-28.73999
250,40,544.6,-20,-347.08
251,50,1031.45,10,486.85
252,100,1512.95,50,481.5
258,50,867.64,-50,-645.3099
260,30,725.75,-20,-141.89
261,50,989,20,263.25
262,80,1525,30,536
264,45,671.2,-35,-853.8
265,52,923.4,7,252.2
