country,pop,birth,death,chldmort,infmort,life,food,energy,gnpcap,gnpgro,urban,school1,school2,school3
Algeria,21.9,41,10,8,81,61,2677,1123,2550,3.6,43,94,47,6
Argentin,30.5,23,9,1,34,70,3221,1468,2130,0.2,84,107,65,29
Australi,15.8,15,7,0,9,78,3389,5116,10830,2,86,107,94,27
Austria,7.6,12,12,0,11,74,3514,3217,9120,3.5,56,97,76,26
Banglade,100.6,40,15,18,123,51,1899,43,150,0.4,18,62,19,5
Belgium,9.9,12,11,0,11,75,3131,4666,8280,2.8,96,98,91,31
Benin,4,49,17,19,115,49,2173,35,260,0.2,35,64,19,2
Bhutan,1.2,43,21,20,133,44,2571,,160,,4,25,4,
Bolivia,6.4,42,15,20,117,53,2146,263,470,-0.2,44,91,37,16
Botswana,1.1,46,12,11,71,57,2219,380,840,8.3,20,97,25,2
Brazil,135.6,29,8,5,67,65,2633,781,1640,4.3,73,103,35,11
BurkFaso,7.9,49,21,29,144,45,1924,20,150,1.3,8,29,4,1
Burma,36.9,30,11,0,66,59,2547,74,190,2.4,24,102,24,5
Burundi,4.7,47,18,23,118,48,2116,26,230,1.9,2,49,4,1
Cameroon,10.2,47,14,10,89,55,2089,145,810,3.6,42,107,23,2
Canada,25.4,15,7,0,8,76,3239,9224,13680,2.4,77,106,102,44
CenAfrRe,2.6,42,16,27,137,49,2050,33,260,-0.2,45,77,16,1
Chile,12.1,22,7,1,22,70,2602,726,1430,-0.2,83,107,66,15
China,1040.3,18,7,2,35,69,2602,515,310,4.8,22,118,37,1
Colombia,28.4,27,7,3,48,65,2574,755,1320,2.9,67,119,49,13
Congo,1.9,45,12,7,77,58,2549,232,1110,3.8,40,,,6
CostaRic,2.6,29,4,0,19,74,2803,534,1300,1.4,45,101,42,22
Denmark,5.1,10,11,0,7,75,3547,4001,11200,1.8,86,101,104,29
DomRep,6.4,32,7,6,70,64,2461,372,790,2.9,56,112,45,10
Ecuador,9.4,35,7,5,67,66,2054,720,1160,3.5,52,114,55,33
Egypt,48.5,36,10,11,93,61,3263,588,610,3.1,46,84,58,21
ElSalvad,4.8,38,10,5,65,64,2148,186,820,-0.2,43,70,24,12
Ethiopia,42.3,46,19,38,168,45,1681,17,110,0.2,15,32,12,
Finland,4.9,13,9,0,6,76,3026,4589,10890,3.3,60,103,101,31
France,55.2,14,10,0,8,78,3359,3673,9540,2.8,73,108,90,27
Ghana,12.7,46,14,11,94,53,1747,131,380,-2.2,32,67,36,2
Greece,9.9,13,9,1,16,68,3721,1841,3550,3.6,65,105,82,17
Guatemal,8,40,10,5,65,60,2294,176,1250,1.7,41,76,17,7
Guinea,6.2,50,24,34,153,40,1728,53,320,0.8,22,32,13,2
