close,quarter,resid,t,volume,year
,I,-0.913369206,0,0.159005889,1888
,II,-0.567485884,1,0.223646243,1888
,III,-0.586293573,2,0.218458049,1888
,IV,-0.528880857,3,0.230312727,1888
,I,-0.587688955,4,0.216189754,1889
,II,-0.56630392,5,0.219897886,1889
,III,-0.752823431,6,0.181700678,1889
,IV,-0.614027971,7,0.207881517,1889
,I,-0.761282515,8,0.178684389,1890
,II,-0.531396068,9,0.22396953,1890
,III,-1.11922272,10,0.123937953,1890
,IV,-0.435953413,11,0.244506835,1890
,I,-0.934455889,12,0.14797286,1891
,II,-0.592626986,13,0.207522768,1891
,III,-0.410591181,14,0.248081007,1891
,IV,-0.414598282,15,0.24624375,1891
,I,0.043684806,16,0.388104194,1892
,II,-0.484070602,17,0.228213704,1892
,III,-0.692833817,18,0.184634559,1892
,IV,-0.321686851,19,0.266794825,1892
,I,-0.133693742,20,0.321026173,1893
,II,-0.490464582,21,0.224056138,1893
,III,-0.744582805,22,0.173299,1893
,IV,-0.657157542,23,0.188628391,1893
,I,-1.071620544,24,0.124306003,1894
,II,-1.225067955,25,0.106359458,1894
,III,-1.213839787,26,0.107304805,1894
,IV,-1.257113507,27,0.102525924,1894
,I,-1.164372034,28,0.112243243,1895
,II,-0.542563522,29,0.208592629,1895
,III,-0.634803125,30,0.18983308,1895
,IV,-0.737661168,31,0.170952179,1895
,I,-0.851147392,32,0.152336148,1896
39.84670455,II,-1.226262127,33,0.104507828,1896
32.81004831,III,-0.951532391,34,0.13732825,1896
40.24152951,IV,-0.800331006,35,0.15950144,1896
41.28328502,I,-1.126908494,36,0.11489839,1897
40.37438437,II,-0.903895191,37,0.143413115,1897
50.71457431,III,-0.003796732,38,0.352337998,1897
48.61413216,IV,-0.462749144,39,0.222404282,1897
47.70094693,I,-0.194159534,40,0.290626783,1898
49.4629127,II,-0.336455225,41,0.25183973,1898
56.18386853,III,-0.260885203,42,0.2713764,1898
56.15804762,IV,-0.01170487,43,0.347903861,1898
65.43837662,I,0.581571119,44,0.629254902,1899
72.80921284,II,-0.007709561,45,0.348865057,1899
73.83086957,III,-0.151706149,46,0.301935447,1899
71.49145455,IV,0.034857189,47,0.363724391,1899
64.89784512,I,-0.13663346,48,0.306317085,1900
59.3220267,II,-0.127592551,49,0.309040371,1900
57.14684501,III,-0.869994278,50,0.147079845,1900
63.34320209,IV,0.544231408,51,0.604983927,1900
67.97061087,I,0.955315252,52,0.912676537,1901
74.54788167,II,1.181509527,53,1.144549966,1901
71.20572568,III,0.322493852,54,0.484945883,1901
64.54208928,IV,0.376076097,55,0.511834291,1901
65.05233732,I,0.219326025,56,0.437784779,1902
66.08441558,II,0.419086447,57,0.534889188,1902
66.05664502,III,0.590084576,58,0.635063302,1902
63.28551164,IV,0.489139111,59,0.574523707,1902
65.51381433,I,0.307067539,60,0.479300203,1903
61.26378716,II,0.277311034,61,0.465691387,1903
51.60039337,III,0.276272908,62,0.465695857,1903
45.33817384,IV,0.198977974,63,0.43154886,1903
48.12141419,I,0.034040897,64,0.366383928,1904
48.71894084,II,-0.519010662,65,0.211022236,1904
53.86458489,III,0.344254903,66,0.501025787,1904
66.19575397,IV,1.060471737,67,1.027000907,1904
73.77822751,I,0.894246458,68,0.871130414,1905
77.22893142,II,0.629689403,69,0.669779606,1905
80.59057971,III,0.429480041,70,0.549247201,1905
86.86013636,IV,0.732244788,71,0.744876045,1905
97.80016835,I,0.795406089,72,0.795029145,1906
93.07293651,II,0.594401841,73,0.651625083,1906
92.21522865,III,0.784215972,74,0.789558191,1906
94.67347826,IV,0.635198833,75,0.681803593,1906
89.44891053,I,0.773367413,76,0.784691488,1907
81.31381818,II,0.250811191,77,0.46647761,1907
74.59477273,III,0.154674115,78,0.424810741,1907
58.78043733,IV,0.113678727,79,0.408836111,1907
62.6995933,I,0.191616283,80,0.443196446,1908
71.32254978,II,0.259589478,81,0.475726305,1908
80.40457557,III,0.397463674,82,0.547667567,1908
84.87294258,IV,0.697812735,83,0.741788607,1908
84.1963913,I,0.358384126,84,0.52994735,1909
90.25744661,II,0.641712152,85,0.705807717,1909
96.8131746,III,0.686416694,86,0.740540065,1909
98.50697826,IV,0.621406026,87,0.696311148,1909
92.04939774,I,0.652297561,88,0.720691293,1910
87.39164502,II,0.38844595,89,0.555560325,1910
79.14184817,III,0.142260661,90,0.435940179,1910
83.19469841,IV,0.196254681,91,0.461881038,1910
83.93390269,I,-0.014491133,92,0.375577581,1911
84.50002392,II,-0.113330876,93,0.341594381,1911
81.48798551,III,0.243435519,94,0.490038666,1911
79.44780952,IV,0.215355782,95,0.478470064,1911
82.63172591,I,0.109646054,96,0.432320925,1912
89.72604618,II,0.235129237,97,0.492271724,1912
90.76684921,III,-0.143204129,98,0.338719437,1912
90.16072137,IV,0.213860148,99,0.486290547,1912
82.11343142,I,-0.240122342,100,0.310284257,1913
78.4424026,II,-0.248747568,101,0.309087328,1913
79.5859596,III,-0.459237214,102,0.25163752,1913
77.58681818,IV,-0.515493216,103,0.239052756,1913
81.77737855,I,-0.305701397,104,0.296344284,1914
80.6428355,II,-0.666361143,105,0.207680983,1914
79.94590909,III,-0.261009157,106,0.31312152,1914
54.72307692,IV,-1.250546996,107,0.117024688,1914
56.96900886,I,-0.583662993,108,0.229223042,1915
67.09564502,II,0.353805544,109,0.588564093,1915
78.31605339,III,0.504801447,110,0.688350881,1915
95.25999275,IV,0.61544307,111,0.773288732,1915
94.27512836,I,0.309269065,112,0.572656383,1916
91.04654705,II,0.254083549,113,0.545118332,1916
