OBS	IDNUMBER	SALARY	LOGSAL	EDUC	SALBEGIN	LOGSALBEGIN	GENDER	MINORITY	JOBCAT
1	1	57000	10.95080655	15	27000	10.20359214	1	0	3
2	2	40200	10.60162227	16	18750	9.838949031	1	0	1
3	3	21450	9.973479924	12	12000	9.392661929	0	0	1
4	4	21900	9.994241916	8	13200	9.487972109	0	0	1
5	5	45000	10.71441777	15	21000	9.952277717	1	0	1
6	6	32100	10.37661131	15	13500	9.510444964	1	0	1
7	7	36000	10.49127422	15	18750	9.838949031	1	0	1
8	8	21900	9.994241916	12	9750	9.185022564	0	0	1
9	9	27900	10.23638197	15	12750	9.453286551	0	0	1
10	10	24000	10.08580911	12	13500	9.510444964	0	0	1
11	11	30300	10.31890299	16	16500	9.71111566	0	0	1
12	12	28350	10.25238231	8	12000	9.392661929	1	1	1
13	13	27750	10.23099112	15	14250	9.564512186	1	1	1
14	14	35100	10.46595641	15	16800	9.729134165	0	1	1
15	15	27300	10.21464198	12	13500	9.510444964	1	0	1
16	16	40800	10.61643736	12	15000	9.61580548	1	0	1
17	17	46000	10.73639668	15	14250	9.564512186	1	0	1
18	18	103750	11.54973944	16	27510	10.22230485	1	0	3
19	19	42300	10.65254237	12	14250	9.564512186	1	0	1
20	20	26250	10.17542127	12	11550	9.354440716	0	0	1
21	21	38850	10.56746336	16	15000	9.61580548	0	0	1
22	22	21750	9.987369037	12	12750	9.453286551	1	1	1
23	23	24000	10.08580911	15	11100	9.314700387	0	1	1
24	24	16950	9.738023113	12	9000	9.104979856	0	1	1
25	25	21150	9.959395184	15	9000	9.104979856	0	1	1
26	26	31050	10.34335409	15	12600	9.441452093	1	0	1
27	27	60375	11.00833039	19	27480	10.22121375	1	0	3
28	28	32550	10.39053265	15	14250	9.564512186	1	0	1
29	29	135000	11.81303006	19	79980	11.28953188	1	0	3
30	30	31200	10.34817337	15	14250	9.564512186	1	0	1
31	31	36150	10.49543223	12	14250	9.564512186	1	0	1
32	32	110625	11.61390138	19	45000	10.71441777	1	0	3
33	33	42000	10.6454249	15	15000	9.61580548	1	0	1
34	34	92000	11.42954386	19	39990	10.5963847	1	0	3
35	35	81250	11.3052861	17	30000	10.30895266	1	0	3
36	36	31350	10.35296955	8	11250	9.328123408	0	0	1
37	37	29100	10.27849345	12	13500	9.510444964	1	1	1
38	38	31350	10.35296955	15	15000	9.61580548	1	1	1
39	39	36000	10.49127422	16	15000	9.61580548	1	1	1
40	40	19200	9.862665558	15	9000	9.104979856	0	1	1
41	41	23550	10.0668811	12	11550	9.354440716	0	1	1
42	42	35100	10.46595641	15	16500	9.71111566	1	0	1
43	43	23250	10.05406041	12	14250	9.564512186	1	0	1
44	44	29250	10.28363485	8	14250	9.564512186	1	0	1
45	45	30750	10.33364527	12	13500	9.510444964	1	0	2
46	46	22350	10.0145816	15	12750	9.453286551	0	0	1
47	47	30000	10.30895266	12	16500	9.71111566	0	0	1
48	48	30750	10.33364527	12	14100	9.553930076	1	0	2
49	49	34800	10.45737267	15	16500	9.71111566	1	0	1
50	50	60000	11.00209984	16	23730	10.07449535	1	0	3
51	51	35550	10.47869544	12	15000	9.61580548	1	0	1
