grant,resid,scrap,scrap_1
0,-0.678573234,0.05,0.06
0,0.17984777,2.74,2.64
0,0.43543334,7,6
0,-0.153828711,11,21
0,-0.029162862,5,7
0,-0.714384179,0.5,1
0,-0.001362321,1.57,1.68
0,0.329875699,24,30
0,-0.021236998,1,1
0,-0.143295453,6,10
0,-0.754686609,0.34,0.66
0,-0.103938799,0.82,0.87
0,-0.807653759,0.53,1.2
0,-0.040109015,1.03,1.06
0,-0.057031117,0.08,0.05
0,-0.219662992,0.16,0.14
1,-0.582472963,3,10
1,0.232732672,1,1
1,0.352930774,5,6
0,0.095793581,2,2
1,0.203273599,0.5,0.45
1,0.479046969,1.54,1.25
1,0.42013095,1.5,1.3
1,-0.038841698,0.8,1.06
1,0.012756644,2,3
1,-1.914588527,0.67,8.18
1,-0.036502353,1.17,1.67
1,-0.423820187,0.51,0.98
1,-0.460414508,0.5,1
1,0.402124457,0.61,0.45
1,-0.109322771,4,8
1,0.352396403,7,9
0,1.599123937,0.11,0.01
1,0.774808632,19,18
1,-0.318666371,0.2,0.28
1,0.224806808,5,7
0,0.095793581,2,2
1,0.429621471,3.83,3.97
0,-0.146521281,1.16,1.39
0,0.646358781,24,20.5
0,-0.014653902,1.41,1.5
0,0.145281343,0.31,0.2
0,-0.183755928,0.85,1
0,0.027246861,0.59,0.5
0,0.02735604,4,5
0,-0.5973536,1,2
0,-0.431151053,1.52,2.71
0,-0.261024228,0.55,0.65
0,0.065168557,8,11
0,0.221040518,2.5,2.25
0,0.209677597,4.8,5
0,0.468814959,2.5,1.67
0,0.104869174,2.59,2.7
0,0.707704301,25,20
