K       L       Y
51081   7272.1  20692.8
949.1   170.1   400.9
1753.3  749.3   2367.7
1918.1  631.4   2138.9
1748.6  820.1   2064.7
8965.5  2897.3  5458.3
690.9   112.3   180.3
733.3   468.5   1096.5
2220.5  697.8   1506.7
2331.8  238.9   1549.1
254.3   13.4    45.2
371.3   48.9    147.7
3699.3  706.1   1794.3
1382.4  267.5   661.8
2034    465.7   1954.9
2550.4  721.9   2362
6236.1  981.1   2701.6
2294.7  840.3   2051.2
314.8   31.6    178.7
1731    549     1449.4
5140    1952.3  6018.8
3104.9  1599.9  3579.3
521.4   209.3   437.8
759.4   441.6   881.7
1345.9  585.8   1565.4
1133.6  502     1268.9
