vint,logprice,wrain,degrees,hrain,time_sv,age
1952,-0.99868,600,17.1167,160,31,37
1953,-0.4544,690,16.7333,80,30,36
1954,,430,15.3833,180,29,35
1955,-0.80796,502,17.15,130,28,34
1956,,440,15.65,140,27,33
1957,-1.50926,420,16.1333,110,26,32
1958,-1.71655,582,16.4167,187,25,31
1959,-0.418,485,17.4833,187,24,30
1960,-1.97491,763,16.4167,290,23,29
1961,0,830,17.3333,38,22,28
1962,-1.10572,697,16.3,52,21,27
1963,-1.78098,608,15.7167,155,20,26
1964,-1.18435,402,17.2667,96,19,25
1965,-2.24194,602,15.3667,267,18,24
1966,-0.74943,819,16.5333,86,17,23
1967,-1.65388,714,16.2333,118,16,22
1968,-2.25018,610,16.2,292,15,21
1969,-2.14784,575,16.55,244,14,20
1970,-0.90544,622,16.6667,89,13,19
1971,-1.30031,551,16.7667,112,12,18
1972,-2.28879,536,14.9833,158,11,17
1973,-1.857,376,17.0667,123,10,16
1974,-2.19958,574,16.3,184,9,15
1975,-1.20168,572,16.95,171,8,14
1976,-1.37264,418,17.65,247,7,13
1977,-2.23503,821,15.5833,87,6,12
1978,-1.30769,763,15.8167,51,5,11
1979,-1.5396,717,16.1667,122,4,10
1980,-1.99582,578,16,74,3,9
1981,,535,16.9667,111,2,8
1982,,712,17.4,162,1,7
1983,,845,17.3833,119,0,6
1984,,591,16.5,119,-1,5
1985,,744,16.8,38,-2,4
1986,,563,16.2833,171,-3,3
1987,,452,16.9833,115,-4,2
1988,,808,17.1,59,-5,1
1989,,443,,82,-6,0
