"Round","ID","Bid_P","Bid_Q","Offer_P","Offer_Q","Price","PV","Buy_Q","Sell_Q","Shares","Cash","Dividend","Earnings","Final_earnings"
1,1,6,2,0,0,6.8,7,0,0,6,57.4,0.4,7.4,0
1,2,0,0,8.35,2,6.8,7,0,0,6,57.4,0.4,7.4,0
1,3,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,4,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,5,6.8,7,7.5,6,6.8,7,3,0,9,36.16,0.4,-13.84,0
1,6,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,7,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,8,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,9,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,10,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,11,1.05,3,1.1,3,6.8,7,0,3,3,78.64,0.4,28.64,0
1,12,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,13,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,14,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,15,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
1,16,"NA","NA","NA","NA",6.8,7,0,0,6,57.4,0.4,7.4,0
2,1,6.85,2,0,0,"NA",7,0,0,6,69.14,1,11.74,0
2,2,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,3,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,4,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,5,"NA","NA","NA","NA","NA",7,0,0,9,48.77,1,12.61,0
2,6,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,7,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,8,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,9,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,10,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,11,"NA","NA","NA","NA","NA",7,0,0,3,89.5,1,10.86,0
2,12,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,13,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,14,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,15,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
2,16,"NA","NA","NA","NA","NA",7,0,0,6,69.14,1,11.74,0
